[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[5551.00 - 5556.00] P:1339.82 E:0.087522 |  and they get the same opportunity as they do now with 15 minutes to go against Iran.
[5556.00 - 5561.00] P:1438.30 E:0.094267 |  They'll know exactly what Iran are capable of now after really finding their true selves,
[5561.00 - 5565.00] P:1446.02 E:0.074087 |  I would say, in this world cup earlier against Wales.
[5565.00 - 5567.00] P:1688.48 E:0.095873 |  McGuire, Ford through the middle.
[5567.00 - 5572.00] P:1481.37 E:0.086775 |  Saka takes that, turns and runs and then rolls it to the right-hand side to Trippier.
[5572.00 - 5574.00] P:1406.58 E:0.107034 |  And now Henderson early ball into the penalty area to Saka.
[5574.00 - 5577.00] P:1634.71 E:0.095457 |  The flag stayed down against Saka, but he was forced to take it wide
[5577.00 - 5581.00] P:1476.56 E:0.102325 |  and there were two men in there again as well, well defended by the USA.
[5581.00 - 5584.00] P:1414.32 E:0.084317 |  Comes back to McGuire, who passes it through the middle.
[5584.00 - 5585.00] P:1560.52 E:0.090595 |  Mount helps it on.
[5585.00 - 5589.00] P:1661.27 E:0.096130 |  Kane goes past Reem, plays it to Saka, looked like he was offside.
[5589.00 - 5593.00] P:1595.02 E:0.103406 |  In comes Reem with a challenge to put it behind for what it will not be a corner
[5593.00 - 5596.00] P:1569.35 E:0.099947 |  because Saka was offside and it's the free kick to USA.
[5596.00 - 5598.00] P:1542.17 E:0.107048 |  It's just not happening for McGuire Saka tonight.
[5598.00 - 5601.00] P:1527.30 E:0.103126 |  It's just not been his game.
[5601.00 - 5604.00] P:1469.52 E:0.107506 |  Sits coming on, he's made a real difference.
[5604.00 - 5607.00] P:1557.50 E:0.096046 |  Jack Grealish not in terms of justly confidence on the ball,
[5607.00 - 5612.00] P:1336.24 E:0.099077 |  but also tactically, McKenney is so aware of it,
[5612.00 - 5616.00] P:1507.11 E:0.086306 |  he's having to drop back into right back now to support Zaginio Des,
[5616.00 - 5618.00] P:1337.92 E:0.086885 |  who's now gone down again.
[5618.00 - 5622.00] P:1480.59 E:0.082586 |  Get the ball to Jack Grealish, just give him the ball and let him run.
[5622.00 - 5624.00] P:1475.94 E:0.082943 |  What can you see, Juliet?
[5624.00 - 5627.00] P:1383.42 E:0.086691 |  I can see that Arison is now going to come on to the pitch.
[5627.00 - 5630.00] P:1551.69 E:0.104767 |  But also Marcus Rashford, I was telling you, was doing that warm-up.
[5630.00 - 5632.00] P:1515.15 E:0.095956 |  Steve Holland called him back.
[5632.00 - 5634.00] P:1567.03 E:0.086213 |  Rashford ready to come on to the pitch.
[5634.00 - 5638.00] P:1407.75 E:0.086840 |  The attendance here, 68,463.
[5638.00 - 5645.00] P:1361.20 E:0.099966 |  So, over 68,000 people sitting in this extraordinary stadium
[5645.00 - 5651.00] P:1279.69 E:0.089813 |  on the edge of the desert in Qatar, watching England nil, USA nil.
[5651.00 - 5655.00] P:1115.01 E:0.093646 |  And Brendan Aronson is already on to the field,
[5655.00 - 5662.00] P:1372.30 E:0.081357 |  but also Shaq Muir is going to come on for Dest as you spotted Rob.
[5662.00 - 5665.00] P:1569.95 E:0.087361 |  Dest struggling with a maybe cramp.
[5665.00 - 5671.00] P:1542.84 E:0.079707 |  Anyway, Shaq Muir of Nashville is going to come on to play there.
[5671.00 - 5674.00] P:1503.68 E:0.080176 |  Two players on the right-hand side to freshen it up.
[5674.00 - 5678.00] P:1267.19 E:0.092965 |  And you just think that Greg Barholtz, a USA manager,
[5678.00 - 5682.00] P:1442.01 E:0.091012 |  has just realised that that freshness, that side is needed.
[5682.00 - 5684.00] P:1391.32 E:0.090292 |  They need it because all of a sudden,
[5684.00 - 5687.00] P:1313.44 E:0.095753 |  Jack Grealish on the ball out there causing problems.
[5687.00 - 5695.00] P:1489.36 E:0.093743 |  And it is Saka who is seeing his number go up, the number 17 on the board.
[5695.00 - 5698.00] P:1764.99 E:0.099780 |  And Marcus Rashford is cheered onto the field,
[5698.00 - 5700.00] P:1695.57 E:0.103221 |  made an immediate impact, didn't he,
[5700.00 - 5704.00] P:1637.21 E:0.098743 |  in the opening match against Iran, scored within a matter of seconds.
[5705.00 - 5709.00] P:1399.78 E:0.100340 |  We hope for that tonight, but we're a reception for him.
[5709.00 - 5715.00] P:1295.35 E:0.084977 |  He struggles, he hopes that that goal really sparks him into life for England.
[5715.00 - 5720.00] P:1388.80 E:0.067691 |  England nil, USA nil.
[5720.00 - 5724.00] P:1478.66 E:0.083087 |  And amongst all of the stories at this World Cup,
[5724.00 - 5728.00] P:1503.07 E:0.095995 |  there have been an increasing number of nil-nil draws up there.
[5728.00 - 5732.00] P:1594.92 E:0.091683 |  Here's Robinson, though, for the United States, now coming forward.
[5732.00 - 5735.00] P:1473.32 E:0.081936 |  Again, on the left-hand side, it's played in field.
[5735.00 - 5739.00] P:1471.34 E:0.085522 |  Tyler Adams takes it up, plays it to the edge of the area.
[5739.00 - 5741.00] P:1571.26 E:0.078773 |  Pullers-Sick now put under pressure.
[5741.00 - 5744.00] P:1557.04 E:0.098235 |  Well done, Rice, came across shoulder to shoulder.
[5744.00 - 5747.00] P:1559.69 E:0.083977 |  That was Declan Rice, that was... yeah, copybook.
[5747.00 - 5751.00] P:1449.84 E:0.089905 |  Declan Rice to put in the challenge and force him to play through for a goal kick.
[5751.00 - 5754.00] P:1333.19 E:0.080716 |  Reactive, Mason Mount and Ritmus Redd, the touch,
[5754.00 - 5757.00] P:1429.69 E:0.083742 |  and just pleaded for someone to step across.
[5757.00 - 5761.00] P:1326.82 E:0.075084 |  There he was, the fireman, fighting the fires.
[5761.00 - 5763.00] P:1487.97 E:0.070567 |  Seeing the danger.
[5764.00 - 5767.00] P:1444.16 E:0.084346 |  That's Rob Green, this is Five Live.
[5767.00 - 5774.00] P:1384.05 E:0.089751 |  England nil, USA nil, 6-0-6 coming tonight after we round up the day's events in the World Cup.
[5774.00 - 5786.00] P:1486.63 E:0.088713 |  And then you will have your chance to talk to Robbie Savage and Chris Sutton on 6-0-6.
[5787.00 - 5793.00] P:1650.38 E:0.100358 |  So, we have had five nil-nil draws in Qatar so far,
[5793.00 - 5799.00] P:1609.10 E:0.096205 |  and the record at the World Cup is seven, which has happened on four different occasions.
[5799.00 - 5803.00] P:1366.50 E:0.089436 |  Thank you to my personal statistician, Micah Richards.
[5804.00 - 5807.00] P:1339.08 E:0.092239 |  Now going to take him wherever I go in Qatar.
[5807.00 - 5809.00] P:1389.04 E:0.088713 |  In fact, it's Kelly, it's Kelly.
[5809.00 - 5811.00] P:1136.89 E:0.093294 |  That'll be it, that'll be it. That'll... that'll... that'll... that'll...
[5811.00 - 5813.00] P:1058.07 E:0.078597 |  That's a good point, it's a good point, Rob.
[5813.00 - 5817.00] P:1284.66 E:0.098122 |  It's easier to take Kelly with me than take Kelly to the World Cup.
[5817.00 - 5823.00] P:1477.54 E:0.094522 |  Here's Mount, Mount now, as he's challenged by Aronson, and Aronson comes away,
[5823.00 - 5827.00] P:1570.62 E:0.087608 |  and now ten minutes to go, the United States mount another attack.
[5827.00 - 5832.00] P:1694.95 E:0.100123 |  Maguire comes across and gets there first ahead of where, went to ground and put it out of play.
[5832.00 - 5835.00] P:1679.27 E:0.093405 |  Now, it's just a couple of times now that the United States have...
[5835.00 - 5837.00] P:1397.98 E:0.085379 |  They've been on the back foot for the last five, ten minutes.
[5837.00 - 5840.00] P:1547.33 E:0.080497 |  Five, ten minutes, Inglis made those two subs.
[5840.00 - 5844.00] P:1501.50 E:0.090441 |  Just the forward ball, they've had glimpses, but they haven't got it right.
[5844.00 - 5846.00] P:1547.05 E:0.086281 |  Much like England for the most of this second half.
[5846.00 - 5853.00] P:1368.14 E:0.082155 |  It is the United States coming forward with the newly arrived Muir,
[5853.00 - 5860.00] P:1307.67 E:0.073471 |  and now... Wehr back into center field to Zimmerman,
[5860.00 - 5863.00] P:1379.03 E:0.091825 |  and then back to the halfway line the Americans go.
[5863.00 - 5868.00] P:1552.70 E:0.101326 |  We are now into the final ten minutes, and there's a feeling of tension around the plays.
[5868.00 - 5872.00] P:1662.60 E:0.096833 |  Grealish misplaces the pass, groans from the England supporters.
[5872.00 - 5874.00] P:1502.86 E:0.094542 |  The United States clear it downfield.
[5874.00 - 5879.00] P:1361.90 E:0.085527 |  Jordan Henderson takes it up again in center field and passes it back to Stones.
[5879.00 - 5883.00] P:1511.27 E:0.081147 |  The substitutions have certainly lifted England.
[5883.00 - 5885.00] P:1453.73 E:0.070950 |  Could they have come earlier?
[5885.00 - 5889.00] P:1545.94 E:0.093908 |  Rob, you can answer that in a moment, because England are bringing it forward now,
[5889.00 - 5893.00] P:1572.08 E:0.094929 |  from the back with Mount, and he plays it across to Kane, who's 25 yards out,
[5893.00 - 5896.00] P:1509.82 E:0.087623 |  but already a defender is there with him, Robinson.
[5896.00 - 5899.00] P:1611.47 E:0.093768 |  He uses Trippier on the right-hand side, now back to Kane.
[5899.00 - 5902.00] P:1702.85 E:0.093732 |  It's swirled in by Henderson, Henderson with the cross,
[5902.00 - 5908.00] P:1701.75 E:0.103422 |  but Turner comes and catches it high above the head of Harry Kane and Grealish inside the far side of the six-yard box.
[5908.00 - 5912.00] P:1544.53 E:0.079572 |  Yeah, it's four or five times in this game that Turner in the goal,
[5912.00 - 5915.00] P:1576.79 E:0.087021 |  where the United States has come and claimed good crosses.
[5915.00 - 5920.00] P:1656.85 E:0.089478 |  But that also, what that suggests is the quality of the crosses, they haven't been good enough.
[5921.00 - 5926.00] P:1400.35 E:0.099563 |  We've had 81 minutes, still waiting for the opening goal.
[5926.00 - 5930.00] P:1392.13 E:0.102860 |  Poulsenk had a post in the first half, there were other good chances as well.
[5930.00 - 5933.00] P:1480.66 E:0.095258 |  McKenney came for England, that was very early on,
[5933.00 - 5936.00] P:1648.97 E:0.094767 |  but here is Muir on the right-hand side for the United States.
[5936.00 - 5941.00] P:1366.39 E:0.076531 |  Muir gets it back, and then he looks to get it back from where, which he does.
[5941.00 - 5948.00] P:1576.54 E:0.078857 |  And then Muir playing for the United States, but the greatest World Cup name for England,
[5948.00 - 5950.00] P:1606.09 E:0.095091 |  Muir on the field playing against England.
[5950.00 - 5956.00] P:1581.42 E:0.089149 |  Bull played forward and that's a free kick for the challenge on Luxo, and it's a free kick.
[5956.00 - 5959.00] P:1539.37 E:0.099704 |  And another substitution, two more in fact for the United States.
[5959.00 - 5966.00] P:1595.42 E:0.096415 |  So this time, Weyer is going to be replaced by Giovanni Reina,
[5966.00 - 5971.00] P:1670.14 E:0.098577 |  the English-born, the Sunderland-born son of Claudio Reina,
[5971.00 - 5975.00] P:1661.49 E:0.093060 |  coming on for his first taste of action at this World Cup.
[5975.00 - 5980.00] P:1691.67 E:0.093200 |  And also coming off is Haji Wright.
[5980.00 - 5987.00] P:1541.08 E:0.102061 |  And it is the Norwich City man, Josh Sargent, who is left out tonight,
[5987.00 - 5990.00] P:1335.26 E:0.099667 |  but he is now on to replace right up front.
[5991.00 - 6001.00] P:1312.70 E:0.094202 |  Reina is a really talented footballer, dogged by injuries throughout his time throughout his wrestling career.
[6001.00 - 6006.00] P:1315.87 E:0.092595 |  Josh Sargent scored goals for Norwich this season, playing as a centre forward,
[6006.00 - 6009.00] P:1329.03 E:0.091610 |  but keeps on getting moved out wide right and stopped scoring.
[6009.00 - 6013.00] P:1346.32 E:0.070469 |  This time, up front and centre, he's not got long.
[6013.00 - 6018.00] P:1567.51 E:0.082044 |  So a double change from Greg Berhalter to forward changes.
[6018.00 - 6021.00] P:1372.44 E:0.087458 |  Reina playing on the right-hand side and Sargent in the middle.
[6021.00 - 6023.00] P:1412.09 E:0.086551 |  Time running out for both of them.
[6023.00 - 6026.00] P:1508.29 E:0.089053 |  England 0, USA 0, the moment.
[6026.00 - 6030.00] P:1445.03 E:0.086903 |  It's going to be a second consecutive draw for the United States.
[6030.00 - 6035.00] P:1293.80 E:0.087155 |  Back with Turner though, there have been so many late goals in this World Cup,
[6035.00 - 6038.00] P:1385.97 E:0.079376 |  not least in the earlier match in this group.
[6038.00 - 6041.00] P:1509.90 E:0.094832 |  USA playing it out from the back, that's nice.
[6041.00 - 6044.00] P:1501.21 E:0.091752 |  And it's Robinson who plays it in field.
[6044.00 - 6047.00] P:1496.48 E:0.095129 |  Robinson, Sturmwell actually the full-on left back in this match,
[6047.00 - 6050.00] P:1579.94 E:0.101174 |  but it's been given away by Muir, the right back in England.
[6050.00 - 6053.00] P:1629.30 E:0.098015 |  Here's Grealish, Grealish away from Muir who caught him.
[6053.00 - 6056.00] P:1707.05 E:0.094536 |  Grealish sent down, sprawling onto his front,
[6056.00 - 6058.00] P:1553.12 E:0.098476 |  so a free kick out on the left wing for England.
[6058.00 - 6060.00] P:1481.74 E:0.080452 |  There's a clear tactic here.
[6060.00 - 6064.00] P:1489.52 E:0.083730 |  Sargent, a desk, couldn't do it because he was so tired,
[6064.00 - 6066.00] P:1548.11 E:0.074159 |  but just get as tight as he can to Jack Grealish.
[6066.00 - 6068.00] P:1684.13 E:0.097625 |  Don't let him travel with the ball.
[6068.00 - 6071.00] P:1563.39 E:0.074472 |  There's been two shots on target in the whole game.
[6071.00 - 6073.00] P:1485.68 E:0.073295 |  I think that pretty much sums it up.
[6075.00 - 6079.00] P:1469.54 E:0.101222 |  But over the piece that we've seen so far, 84 minutes now,
[6079.00 - 6082.00] P:1521.23 E:0.089129 |  they've been quite well matched.
[6082.00 - 6086.00] P:1733.48 E:0.097900 |  You'd say, at point, would obviously suit England better,
[6086.00 - 6090.00] P:1669.16 E:0.091864 |  but USA would take more heart from the performances.
[6090.00 - 6095.00] P:1635.69 E:0.088727 |  Free kick then, on the left as a result of that foul on Grealish.
[6095.00 - 6100.00] P:1528.67 E:0.085065 |  Sure to play this in, looking for the delivery, the pinpoint delivery.
[6100.00 - 6102.00] P:1424.56 E:0.085456 |  Maguire making the run.
[6102.00 - 6104.00] P:1737.26 E:0.094525 |  Here's the cross from Shaw from the free kick,
[6104.00 - 6107.00] P:1573.08 E:0.077780 |  but cleared away by Tim Reem.
[6107.00 - 6110.00] P:1579.50 E:0.113528 |  And then the ball put out of play, Pulisic was there,
[6110.00 - 6113.00] P:1651.95 E:0.085044 |  and it's played out by Pulisic.
[6113.00 - 6115.00] P:1496.73 E:0.099558 |  Or was he fouled?
[6115.00 - 6117.00] P:1417.36 E:0.099107 |  Foul on Pulisic.
[6117.00 - 6119.00] P:1454.56 E:0.092582 |  Free kick to the USA deep inside the wrong half.
[6119.00 - 6122.00] P:1522.30 E:0.086764 |  So we have five minutes to go, just over five minutes,
[6122.00 - 6125.00] P:1374.21 E:0.073920 |  plus added time, whatever that might be.
[6125.00 - 6128.00] P:1388.44 E:0.078164 |  Think of a number, double it.
[6128.00 - 6132.00] P:1538.19 E:0.080002 |  So a free kick that Turner is going to take.
[6135.00 - 6138.00] P:1416.08 E:0.096985 |  He's been a frustrating performance by England.
[6138.00 - 6141.00] P:1443.19 E:0.108488 |  None more so the gesticulations of Mike, who sat next,
[6141.00 - 6144.00] P:1480.50 E:0.083146 |  they think they've summed it up during the 90 minutes.
[6144.00 - 6146.00] P:1361.30 E:0.105060 |  Yep, more from Mike over the course of the next hour.
[6146.00 - 6148.00] P:1492.75 E:0.103432 |  We'll have the live interviews as well.
[6148.00 - 6151.00] P:1369.12 E:0.084639 |  To get the machine working downstairs in the tunnel area.
[6151.00 - 6155.00] P:1544.75 E:0.095566 |  So Grealish takes it down and plays it back to Shaw,
[6155.00 - 6160.00] P:1474.16 E:0.085322 |  and then Shaw back to the edge of the penalty area to Harry Maguire.
[6160.00 - 6163.00] P:1470.16 E:0.094123 |  That's what he'd want for his 50th cap, a clean sheet.
[6163.00 - 6167.00] P:1376.74 E:0.096038 |  Maguire certainly, Rice playing it back behind Stones.
[6167.00 - 6169.00] P:1478.78 E:0.090014 |  This is how the match began, actually.
[6169.00 - 6172.00] P:1401.27 E:0.102867 |  Stones and Rice and Maguire playing the ball around the edge
[6172.00 - 6174.00] P:1443.75 E:0.090112 |  of their own penalty area.
[6174.00 - 6176.00] P:1656.57 E:0.104066 |  Certainly none of the floor really, or little of the floor,
[6176.00 - 6179.00] P:1448.82 E:0.077628 |  should I say, that we saw from England
[6179.00 - 6182.00] P:1270.20 E:0.095238 |  against the hapless Iranians on Monday afternoon.
[6182.00 - 6184.00] P:1335.96 E:0.096692 |  England 0, USA 0.
[6184.00 - 6187.00] P:1656.96 E:0.092591 |  Take Fudd out to Shaw.
[6187.00 - 6191.00] P:1465.72 E:0.092811 |  I think those England supporters want to see England moving it forward
[6191.00 - 6194.00] P:1651.20 E:0.084121 |  and getting it forward quickly and trying to win this game.
[6194.00 - 6197.00] P:1441.53 E:0.087051 |  If they win the game tonight, they get this late goal and win it,
[6197.00 - 6199.00] P:1384.12 E:0.075463 |  England will be through.
[6199.00 - 6203.00] P:1341.40 E:0.088334 |  But I think those England fans are suggesting that there's not enough urgency.
[6203.00 - 6207.00] P:1618.11 E:0.082756 |  There isn't urgency in the game, but you just feel that
[6207.00 - 6210.00] P:1699.03 E:0.101732 |  they've just not had the foothold in the game to really
[6210.00 - 6213.00] P:1632.04 E:0.093723 |  put the foot down and say, well, we've had control,
[6213.00 - 6216.00] P:1647.25 E:0.093981 |  we've had possession, we can dictate.
[6216.00 - 6219.00] P:1625.54 E:0.090443 |  They've just not had it, it's just not been that game.
[6219.00 - 6222.00] P:1547.17 E:0.088053 |  No, Grealish playing it back to Harry Kane,
[6222.00 - 6225.00] P:1748.59 E:0.107215 |  who plays it through to Rashford, and Rashford takes it on.
[6225.00 - 6229.00] P:1650.40 E:0.097375 |  He's got defenders all around him, leaps nimbly away from Zimmerman,
[6229.00 - 6231.00] P:1764.77 E:0.082913 |  gives it to Grealish.
[6231.00 - 6233.00] P:1684.02 E:0.109218 |  Grealish now coming across the edge of the penalty area,
[6233.00 - 6234.00] P:1603.87 E:0.098063 |  a back heel to Rashford.
[6234.00 - 6236.00] P:1738.83 E:0.090634 |  Rashford puts his foot on it, whips it forwards,
[6236.00 - 6239.00] P:1748.90 E:0.100941 |  but an easy one to turn at, just to take into his gloves.
[6239.00 - 6244.00] P:1663.19 E:0.090267 |  A couple of little steps to his left and caught it.
[6244.00 - 6246.00] P:1386.02 E:0.071004 |  Yeah, he caught it.
[6246.00 - 6248.00] P:1368.72 E:0.084690 |  It was nearly a back pass, it was out of slow.
[6248.00 - 6254.00] P:1444.32 E:0.084022 |  It just would have had to have been 10-point perfection for that to go in on that angle.
[6254.00 - 6257.00] P:1333.14 E:0.086537 |  There's so little bit back lift, so little power into the shot,
[6257.00 - 6260.00] P:1511.89 E:0.085637 |  you have to say probably it was a poor choice from Rashford.
[6260.00 - 6264.00] P:1399.89 E:0.081446 |  But then again, Grealish gets the ball, a little bit of life, a little bit something.
[6264.00 - 6267.00] P:1388.02 E:0.084013 |  England nil, USA nil.
[6267.00 - 6270.00] P:1287.09 E:0.080780 |  You've hardly made a note in the second half, in terms of chances.
[6270.00 - 6273.00] P:1504.71 E:0.091349 |  The shot from right that was blocked by Rice,
[6273.00 - 6283.00] P:1412.69 E:0.086033 |  and Rashford with that one there, which was very much in the bracket of easy goalkeeping saves,
[6283.00 - 6285.00] P:1522.54 E:0.099035 |  at any level really.
[6285.00 - 6288.00] P:1418.58 E:0.086261 |  And now he has Aronson for the United States,
[6288.00 - 6291.00] P:1205.28 E:0.084030 |  two and a half minutes of the 90 to play.
[6291.00 - 6294.00] P:1286.09 E:0.085307 |  Aronson, he is his lead United teammate.
[6294.00 - 6298.00] P:1411.22 E:0.083781 |  Adams, Muir from right back for USA.
[6298.00 - 6302.00] P:1544.18 E:0.094271 |  Now it's been taken on and forward by Reynat towards the edge of the area,
[6302.00 - 6307.00] P:1634.75 E:0.101101 |  but England are able to win it back, and it's been brought forward by Maguire, who passes it.
[6307.00 - 6309.00] P:1642.40 E:0.096531 |  That's asking a lot of Harry Kane.
[6309.00 - 6314.00] P:1534.88 E:0.095201 |  Zimmerman is able to get there first and pass it back into his penalty area to Turner,
[6314.00 - 6319.00] P:1484.94 E:0.087251 |  who finds Muir, but Mount is chasing him back to Zimmerman.
[6319.00 - 6323.00] P:1587.17 E:0.093562 |  The ball is played across the penalty area, Turner takes a touch and his left goes,
[6323.00 - 6327.00] P:1594.72 E:0.106488 |  Mount is still going, and the goalkeeper is running out of the penalty area altogether,
[6327.00 - 6335.00] P:1653.79 E:0.085556 |  chased by Mount, and now forward it goes, and Moussa gives it to the left-hand side.
[6335.00 - 6339.00] P:1635.50 E:0.101659 |  This could be dangerous, back to Aronson, just outside the area.
[6339.00 - 6342.00] P:1728.85 E:0.097186 |  The ball is worked across, all the way to the right-hand side, Muir.
[6342.00 - 6347.00] P:1741.84 E:0.096815 |  One good ball across from Muir, but he couldn't find it, he passed it straight to Rice,
[6347.00 - 6352.00] P:1530.76 E:0.089441 |  and Deckman Rice was able to get it away to Grealish,
[6352.00 - 6356.00] P:1380.05 E:0.085033 |  and then from there to safety by Pinkford.
[6356.00 - 6364.00] P:1479.10 E:0.086093 |  It sums up the game, it gets the ball, a real opportunity to pick out someone more on that right-hand side.
[6364.00 - 6368.00] P:1556.18 E:0.089006 |  Just that bit of quality, what have you got? Not enough.
[6368.00 - 6371.00] P:1618.93 E:0.099371 |  And that's for both teams, as we're saying.
[6371.00 - 6380.00] P:1609.78 E:0.095282 |  So few shots on target, shows huge clear-cut quality chances, so little quality play.
[6380.00 - 6386.00] P:1389.39 E:0.092341 |  So I think Gareth Southgate will praise the defending, that's what he'll do.
[6386.00 - 6391.00] P:1381.99 E:0.087469 |  He wanted a clean sheet the other night, and I think that would be the starting point,
[6391.00 - 6399.00] P:1553.47 E:0.088555 |  but it's been tough, this has been a tough test for England, they've not played well.
[6399.00 - 6406.00] P:1449.68 E:0.089569 |  So Reem did well there, he was under pressure from two England players, Henderson and from Rashford,
[6406.00 - 6412.00] P:1527.29 E:0.097234 |  and it's found its way back to Rashford, and now England on the far side,
[6412.00 - 6417.00] P:1632.04 E:0.102144 |  and a foul as Henderson is sandwiched between two United States players, clever really,
[6417.00 - 6421.00] P:1563.18 E:0.094079 |  won the free-kick, experienced play, and it's a free-kick to England,
[6421.00 - 6424.00] P:1514.42 E:0.092154 |  out there on the far side near the halfway line.
[6424.00 - 6430.00] P:1569.30 E:0.085139 |  Good feet, good skill, good knowledge, just drew the foul from Poulissic, an opportunity,
[6430.00 - 6432.00] P:1582.49 E:0.099756 |  said really old game.
[6432.00 - 6436.00] P:1607.75 E:0.097908 |  Free-kick taken short by England, down the right-hand side, it's chipped across to the back post,
[6436.00 - 6440.00] P:1680.91 E:0.101031 |  Moore comes across and heads it across his own penalty area and behind,
[6440.00 - 6446.00] P:1427.90 E:0.098611 |  and England have a late set-piece in added time.
[6446.00 - 6449.00] P:1485.11 E:0.101311 |  Four minutes of added time.
[6449.00 - 6454.00] P:1407.82 E:0.109432 |  Is that a low cut at the end of a second half for Cata?
[6454.00 - 6461.00] P:1574.58 E:0.100907 |  We had seven subs, 30 seconds per sub, and I must suggest that doesn't leave a lock for anything else.
[6461.00 - 6469.00] P:1620.65 E:0.091669 |  Kona from the right, trippied to take this, so all eyes on Harry Maguire as the obvious target.
[6469.00 - 6476.00] P:1463.82 E:0.087955 |  Harry Kane is complaining that he's already being pulled back, Maguire is standing just beyond the penalty spot,
[6476.00 - 6481.00] P:1318.51 E:0.090332 |  in between the penalty spot and the edge of the area, Trippie is about to take this.
[6481.00 - 6485.00] P:1551.47 E:0.103046 |  Here he is aiming for Maguire, who heads it down but it just bounces up, goalwards,
[6485.00 - 6489.00] P:1738.92 E:0.100399 |  and it's easily caught by a hopping turner above his head.
[6489.00 - 6493.00] P:1705.13 E:0.088174 |  Yeah, it's just a bit too deep, too much pressure on Harry Maguire.
[6493.00 - 6500.00] P:1514.80 E:0.078906 |  They do suffer from set-pieces in USA, but there's been so few of England for England,
[6500.00 - 6505.00] P:1397.45 E:0.083190 |  so little in terms of attacking threat, two corners all game.
[6505.00 - 6511.00] P:1379.04 E:0.085858 |  So it looks like England are going to need something against Wales on Tuesday.
[6511.00 - 6520.00] P:1507.89 E:0.095255 |  Make a note of that in your diary, seven o'clock GMT on Tuesday evening, Wales against England.
[6520.00 - 6526.00] P:1527.36 E:0.090372 |  And Wales will have to win it for England, the draw will do.
[6526.00 - 6529.00] P:1741.74 E:0.102894 |  Grealish, he's lost possession, still time to win this yet.
[6529.00 - 6538.00] P:1682.69 E:0.098032 |  Grealish takes it on downfield, but he is forced wide and then forced over, shoved over, pushed over for a free kick by Moussa.
[6538.00 - 6544.00] P:1617.46 E:0.094045 |  So a free kick, very similar, just a little further on actually to where Luke Shaw had one maybe three or four minutes ago.
[6544.00 - 6550.00] P:1523.22 E:0.094710 |  But this is a good position here for Short, a whip it in, we've seen him do this before, a really good effect.
[6550.00 - 6557.00] P:1415.06 E:0.075484 |  Right, I played a Short one a few moments ago and no real England player in the middle ready.
[6557.00 - 6561.00] P:1476.66 E:0.083557 |  Crossing it to know what this is no such plan.
[6561.00 - 6567.00] P:1473.40 E:0.084028 |  Set it up, get it right, get your big men, far post, McGuire, Stones, waiting.
[6567.00 - 6573.00] P:1603.20 E:0.095709 |  Yep, McGuire just runs his fingers through his jet black hair standing on the far side of the penalty area.
[6573.00 - 6577.00] P:1407.63 E:0.097013 |  He's the furthest man actually, right out on the far side, looking to make the run.
[6577.00 - 6582.00] P:1408.73 E:0.093872 |  Shaw has a look there, one foot in front of the other, White Sox disappearing down his calves.
[6582.00 - 6586.00] P:1494.04 E:0.088309 |  Shaw has a look at the ball, has a look into the middle, still looking into the middle.
[6586.00 - 6591.00] P:1516.98 E:0.084026 |  The referee has just walked all the way across to speak to Harry McGuire.
[6591.00 - 6593.00] P:1446.71 E:0.103752 |  To tell him he stood in an offside position.
[6593.00 - 6595.00] P:1439.63 E:0.082827 |  I think he probably knows that.
[6595.00 - 6597.00] P:1479.58 E:0.101055 |  Shaw, right, he's ready again.
[6597.00 - 6602.00] P:1365.63 E:0.090324 |  Again we see the routine, right arm in the air, McGuire looking to make the run.
[6602.00 - 6605.00] P:1624.19 E:0.097841 |  Shaw plays it in and it's headed White!
[6605.00 - 6609.00] P:1587.98 E:0.100796 |  White by Declan Rice I think it was, in amongst a whole group of players.
[6609.00 - 6615.00] P:1618.67 E:0.088125 |  Kane was in there as well, but that was not far White.
[6616.00 - 6619.00] P:1541.95 E:0.104837 |  And it was the England captain who got his head to it, but White.
[6619.00 - 6625.00] P:1469.61 E:0.078462 |  He's barely had an opportunity all game, one in the first half, one in the second half.
[6625.00 - 6628.00] P:1401.45 E:0.093368 |  It came at him in amongst bodies, in amongst heads.
[6628.00 - 6633.00] P:1435.03 E:0.077356 |  Just mistimed his jump, skewed it wide off his head.
[6633.00 - 6639.00] P:1366.69 E:0.091681 |  That probably is one of two of England's best chances in the whole match.
[6639.00 - 6643.00] P:1619.00 E:0.088793 |  Yeah, Kane with a transferry early on, which was well blocked by Zimmerman actually.
[6643.00 - 6646.00] P:1450.53 E:0.095117 |  He didn't really need to get in credit for that, and that one there.
[6646.00 - 6649.00] P:1502.75 E:0.101235 |  So Kane, yet to get off the mark, rather like the Euros last year.
[6649.00 - 6653.00] P:1618.57 E:0.085235 |  Didn't get into the goals did he, until the knockout stages.
[6653.00 - 6657.00] P:1492.24 E:0.091365 |  England 0, USA 0, long over the halfway line.
[6657.00 - 6662.00] P:1675.94 E:0.099140 |  We're in the final minute of added time now, but we've seen so many late goals.
[6662.00 - 6668.00] P:1738.85 E:0.097661 |  Don't go to bed just yet, as Free-Kick is won by Giovanni Reina.
[6668.00 - 6671.00] P:1636.60 E:0.090017 |  So a Free-Kick for the United States.
