[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[5574.00 - 5577.00] P:1817.74 E:0.110416 |  That's the familiar voice of Chris Sutton on BBC Radio 5 Live,
[5577.00 - 5579.00] P:1886.52 E:0.093254 |  with 16 minutes remaining.
[5579.00 - 5581.00] P:1922.68 E:0.092890 |  Thiago's ball to Salah.
[5581.00 - 5584.00] P:1815.28 E:0.108152 |  Just trying to tickle it on the inside towards Firmino,
[5584.00 - 5586.00] P:1857.90 E:0.089516 |  who loses the ball to Iax,
[5586.00 - 5588.00] P:1754.54 E:0.110761 |  who now maybe will look to break.
[5588.00 - 5590.00] P:1838.46 E:0.095909 |  Taylor Kudos holding his run.
[5590.00 - 5592.00] P:1792.74 E:0.100242 |  Kudos now sent away.
[5592.00 - 5594.00] P:1853.78 E:0.095908 |  Liverpool's back four is extremely narrow and compact.
[5594.00 - 5597.00] P:1831.15 E:0.104792 |  And stepping out of that back line is Alexander-Arnold.
[5597.00 - 5598.00] P:1829.21 E:0.073042 |  Runs into Blint.
[5598.00 - 5600.00] P:1754.16 E:0.090284 |  Headed away then by Alvarez.
[5600.00 - 5602.00] P:1629.58 E:0.096682 |  Brought down by Thiago.
[5602.00 - 5604.00] P:1867.71 E:0.097894 |  And it goes on to the left,
[5604.00 - 5606.00] P:1925.58 E:0.108048 |  but he's still in the lead.
[5606.00 - 5608.00] P:1959.09 E:0.089919 |  He's been a bit off the line.
[5608.00 - 5610.00] P:1912.59 E:0.109717 |  He's been a bit of a mess by Bergvein.
[5610.00 - 5612.00] P:1892.00 E:0.093556 |  Ball played out towards the Iax right,
[5612.00 - 5614.00] P:1841.09 E:0.096566 |  towards Tadich.
[5614.00 - 5616.00] P:1810.75 E:0.088110 |  Tadich unmarked right-hand side,
[5616.00 - 5618.00] P:2038.20 E:0.114048 |  sends over across, and the header is wide.
[5618.00 - 5620.00] P:1948.74 E:0.106853 |  It was daily Blint.
[5620.00 - 5623.00] P:1870.53 E:0.093820 |  The left back, who was at the far side of a six-yard box,
[5623.00 - 5625.00] P:1850.38 E:0.087959 |  free header, really should have hit the target.
[5625.00 - 5627.00] P:1678.99 E:0.093796 |  He put it wide by about a foot.
[5627.00 - 5629.00] P:1543.94 E:0.093542 |  Goal kick led off for Liverpool.
[5629.00 - 5630.00] P:1817.53 E:0.099505 |  That was in.
[5630.00 - 5632.00] P:1752.02 E:0.106798 |  It's a brilliant pass from Berg,
[5632.00 - 5634.00] P:1782.15 E:0.094558 |  who's out to the right-hand side.
[5634.00 - 5636.00] P:1398.02 E:0.084775 |  Tadich gets his head up and picks out daily Blint,
[5636.00 - 5638.00] P:1447.06 E:0.084612 |  who had drifted in
[5638.00 - 5640.00] P:946.98 E:0.068399 |  in a far post position,
[5640.00 - 5642.00] P:1917.09 E:0.110218 |  and he heads it back across Allyson.
[5642.00 - 5644.00] P:1865.43 E:0.098227 |  Allyson is rooted,
[5644.00 - 5647.00] P:1897.81 E:0.098916 |  and it goes agonisingly wide for Iax.
[5647.00 - 5650.00] P:1694.27 E:0.083616 |  Big moment in the game there.
[5650.00 - 5653.00] P:1772.77 E:0.085591 |  Well, the clearest moment for either side
[5653.00 - 5655.00] P:1616.65 E:0.087721 |  in this second half.
[5655.00 - 5657.00] P:2001.06 E:0.100115 |  Kudos coming back from an offside position.
[5657.00 - 5659.00] P:1909.58 E:0.104095 |  Goal for the ball.
[5659.00 - 5662.00] P:1886.15 E:0.087704 |  Sivakas deals with a threat of Tadich over on that far side.
[5662.00 - 5665.00] P:1863.45 E:0.092916 |  But that was a huge lead off for Liverpool.
[5665.00 - 5667.00] P:2005.70 E:0.082829 |  I mean, Blint,
[5667.00 - 5670.00] P:2008.24 E:0.100245 |  during his time for Manchester United,
[5670.00 - 5674.00] P:1849.75 E:0.089138 |  did score once in a 3-1 win at Old Trafford.
[5674.00 - 5678.00] P:1815.81 E:0.089361 |  But he had a chance here to silence Anfield.
[5678.00 - 5680.00] P:1753.50 E:0.085662 |  Howie would have loved that.
[5680.00 - 5683.00] P:1823.86 E:0.083569 |  And he should have scored.
[5683.00 - 5686.00] P:1811.30 E:0.078656 |  Kelt them two. Cambridge won.
[5686.00 - 5688.00] P:1689.81 E:0.078509 |  A late goal in League One.
[5688.00 - 5691.00] P:1833.48 E:0.083951 |  And Burton Nill, Portsmouth 2,
[5691.00 - 5694.00] P:1838.50 E:0.096110 |  is a latey score in League One.
[5694.00 - 5697.00] P:1864.66 E:0.098926 |  So Burton, bottom of the table, yet to win,
[5697.00 - 5700.00] P:1858.41 E:0.081579 |  have conceded another one there.
[5700.00 - 5703.00] P:1773.39 E:0.096561 |  Alexander-Arnold, out to Salah, 1-1.
[5703.00 - 5706.00] P:1838.08 E:0.082439 |  And the 14 minutes remain here at Anfield.
[5706.00 - 5712.00] P:1782.19 E:0.075093 |  It's a scoreline that will certainly suit Iax.
[5712.00 - 5714.00] P:1634.59 E:0.092277 |  It is.
[5714.00 - 5718.00] P:1811.47 E:0.087934 |  Will we come back to that moment, to that...
[5718.00 - 5721.00] P:1643.38 E:0.070556 |  ...daily Blint miss?
[5721.00 - 5723.00] P:1952.31 E:0.098135 |  We should have scored.
[5723.00 - 5727.00] P:1908.24 E:0.084637 |  He saw the cross from Tadich all the way onto his head.
[5727.00 - 5730.00] P:1968.85 E:0.106867 |  Did the right thing going back across, Allison?
[5730.00 - 5734.00] P:1824.43 E:0.073006 |  Always go back across the goalkeeper.
[5734.00 - 5737.00] P:1712.14 E:0.075265 |  It was so close.
[5737.00 - 5739.00] P:1616.74 E:0.088284 |  13 minutes remaining.
[5739.00 - 5741.00] P:1757.87 E:0.093659 |  Dias picks the ball up left of the centre-circle,
[5741.00 - 5745.00] P:1814.81 E:0.092255 |  into Firmino's feet, just inside the centre-circle now.
[5745.00 - 5748.00] P:1807.44 E:0.092262 |  And he passes the ball on a diagonal line
[5748.00 - 5750.00] P:1811.08 E:0.101635 |  out towards the right corner of the area.
[5750.00 - 5753.00] P:1859.43 E:0.102661 |  Salah trying to turn away from Bassi.
[5753.00 - 5755.00] P:1829.43 E:0.106210 |  Bassi holding him off with his strength.
[5755.00 - 5757.00] P:1925.76 E:0.093828 |  Thou shall not pass,
[5757.00 - 5760.00] P:1859.45 E:0.094244 |  as the ball then goes on the inside from Massit
[5760.00 - 5762.00] P:1718.90 E:0.084830 |  to Van Dyke to join the attack.
[5762.00 - 5764.00] P:1778.63 E:0.084430 |  Iax have everybody back inside their own half.
[5764.00 - 5767.00] P:1915.24 E:0.086097 |  Under 13 minutes remain.
[5767.00 - 5769.00] P:1853.74 E:0.094405 |  Shot comes in from Tiago.
[5769.00 - 5771.00] P:2009.94 E:0.090049 |  But it was from distance,
[5771.00 - 5774.00] P:1871.37 E:0.092413 |  and it was into the mid-riff, really,
[5774.00 - 5776.00] P:1822.78 E:0.089931 |  of Kasfea, the Iax goalkeeper.
[5776.00 - 5779.00] P:1823.28 E:0.098057 |  He worked the situation really well, Tiago.
[5779.00 - 5781.00] P:1657.87 E:0.058309 |  Just...
[5781.00 - 5784.00] P:1798.44 E:0.097206 |  ...cutting inside Burgh who's onto his right foot.
[5784.00 - 5787.00] P:1825.65 E:0.104818 |  But he hasn't been as prominent in this second half.
[5787.00 - 5790.00] P:1773.00 E:0.066659 |  Hasn't been as sharp and as effective.
[5790.00 - 5793.00] P:1867.19 E:0.089593 |  Somebody's got to step up for Liverpool
[5793.00 - 5796.00] P:1761.00 E:0.097177 |  and find that one moment of quality.
[5799.00 - 5802.00] P:1853.14 E:0.110743 |  Two wins from their last seven in all competitions.
[5802.00 - 5804.00] P:1859.07 E:0.103840 |  They've got to be wary of the counterattack,
[5804.00 - 5807.00] P:1878.77 E:0.100078 |  and Tadic now has got an area of space to run into.
[5807.00 - 5810.00] P:1961.04 E:0.100052 |  Tadic towards Taylor, side onto goal, back towards Tadic.
[5810.00 - 5812.00] P:1886.57 E:0.096954 |  Tadic though turns, right corner of the area,
[5812.00 - 5814.00] P:1890.73 E:0.086884 |  passes the ball now to Birkhouse.
[5814.00 - 5817.00] P:1861.79 E:0.097309 |  Now, towards Blint, joins the attack now with Burgh Vine.
[5817.00 - 5819.00] P:1921.36 E:0.100127 |  Burgh Van Dyke, who's right foot, goes for a curler,
[5819.00 - 5821.00] P:1985.83 E:0.110625 |  caught and claimed by Alisson.
[5821.00 - 5824.00] P:1902.02 E:0.108202 |  Throws the ball out, throws it down into the ground for that zip
[5824.00 - 5826.00] P:1936.45 E:0.099413 |  to enable Salah to run onto the ball.
[5826.00 - 5828.00] P:1896.29 E:0.107391 |  Forward towards Nunes,
[5828.00 - 5831.00] P:1922.14 E:0.100002 |  on the left, on the side, on this near side of the right.
[5831.00 - 5832.00] P:1898.06 E:0.094488 |  In a foot chase with Bassey.
[5832.00 - 5836.00] P:1900.72 E:0.095866 |  Bassey comes across, Nunes will win a corner kick
[5836.00 - 5838.00] P:2000.58 E:0.096876 |  off the legs of Alvarez.
[5840.00 - 5844.00] P:1793.65 E:0.089399 |  Bristol Rovers, incidentally, are down to ten men,
[5844.00 - 5847.00] P:1752.07 E:0.096974 |  as they're now training still 2-0 at Portman Road.
[5847.00 - 5850.00] P:1830.35 E:0.099128 |  Bobby Thomas has been sent off.
[5850.00 - 5852.00] P:1815.69 E:0.107498 |  This is the Champions League,
[5852.00 - 5856.00] P:1702.46 E:0.080841 |  and we're just over ten minutes remaining on BBC Radio 5 Live.
[5857.00 - 5861.00] P:1692.81 E:0.090987 |  Alexander Arnold places the ball down in the quadrant.
[5861.00 - 5864.00] P:1952.88 E:0.076937 |  This area of the pitch, of course,
[5864.00 - 5868.00] P:1934.52 E:0.095251 |  that he took that quick corner against Barcelona back in 2019.
[5868.00 - 5871.00] P:1919.33 E:0.093791 |  This time he waits, right footed.
[5871.00 - 5873.00] P:1796.49 E:0.101218 |  It's an out swing of Van Dyke's header,
[5873.00 - 5876.00] P:1865.78 E:0.093535 |  bobbles around, took a couple of ricochets there, cleared away.
[5876.00 - 5878.00] P:1849.36 E:0.088542 |  Bassey has gone down, play though continues.
[5878.00 - 5880.00] P:1860.18 E:0.105008 |  Bassey at the moment is holding his head.
[5880.00 - 5882.00] P:1799.87 E:0.113737 |  The referee will have to stop play out, imagine,
[5882.00 - 5884.00] P:1766.26 E:0.118032 |  because he's gone down holding his head.
[5884.00 - 5886.00] P:1881.00 E:0.115456 |  And I think Bassey has won that decision.
[5886.00 - 5888.00] P:1838.73 E:0.111944 |  I think Bassey could have probably continued,
[5888.00 - 5890.00] P:1917.40 E:0.110383 |  but there is a stoppage in play.
[5890.00 - 5891.00] P:1778.18 E:0.112352 |  The referee isn't to know that.
[5891.00 - 5893.00] P:1899.31 E:0.083293 |  He can't afford to take that chance.
[5893.00 - 5894.00] P:1884.81 E:0.107705 |  And whilst there's a stoppage in play,
[5894.00 - 5896.00] P:1747.33 E:0.111931 |  we'll go to the Liberty Stadium, where there's been a goal.
[5896.00 - 5897.00] P:1979.88 E:0.098138 |  Laura Kenyon.
[5897.00 - 5900.00] P:2047.28 E:0.106510 |  The League leaders, Sheffield United take the lead.
[5900.00 - 5903.00] P:1798.44 E:0.109420 |  Red Accadro with the breakthrough, deep in added time,
[5903.00 - 5906.00] P:1936.67 E:0.096562 |  from a counterattack, heartbreak for Swansea,
[5906.00 - 5909.00] P:1857.32 E:0.102112 |  right at the end, and booze resound around the ground.
[5909.00 - 5912.00] P:1984.27 E:0.090604 |  It's Swansea nil, Sheffield United won.
[5912.00 - 5915.00] P:1875.20 E:0.097233 |  That would take them four points clear of a certain Norwich City,
[5915.00 - 5918.00] P:1815.74 E:0.081718 |  although Norwich do have a game in hand.
[5918.00 - 5922.00] P:1828.71 E:0.088777 |  There was no way that Bassey was in such pain.
[5922.00 - 5923.00] P:1819.35 E:0.082377 |  No.
[5923.00 - 5925.00] P:1866.62 E:0.111560 |  And you know, I don't like that.
[5925.00 - 5928.00] P:1908.97 E:0.096638 |  The referee really put in an impossible position,
[5928.00 - 5931.00] P:1813.26 E:0.098612 |  has to stop the game because it's a head injury.
[5931.00 - 5933.00] P:1773.72 E:0.089658 |  I think in situations like that,
[5933.00 - 5938.00] P:1549.50 E:0.098957 |  the player should be booked for that.
[5938.00 - 5940.00] P:1834.74 E:0.088697 |  Trying to get the game stopped at...
[5942.00 - 5944.00] P:1750.90 E:0.077049 |  to suit Ajax.
[5944.00 - 5946.00] P:1812.18 E:0.084228 |  Now it's a drop ball.
[5946.00 - 5948.00] P:1834.04 E:0.107839 |  Ajax just made another sub, haven't they?
[5948.00 - 5949.00] P:1682.97 E:0.106380 |  They have.
[5949.00 - 5952.00] P:1866.61 E:0.089244 |  Florian Grilich has come on to replace Taylor.
[5952.00 - 5955.00] P:1750.59 E:0.091133 |  Marseille nil, Eintracht Frankfurt, two.
[5955.00 - 5958.00] P:1834.09 E:0.092409 |  Is a latest score in Tottenham's group.
[5958.00 - 5960.00] P:1896.86 E:0.077470 |  That's group D.
[5960.00 - 5965.00] P:1851.05 E:0.099155 |  As Liverpool here still being held with nine minutes remaining.
[5965.00 - 5967.00] P:1723.99 E:0.073341 |  Here is Firmino.
[5967.00 - 5971.00] P:1782.60 E:0.103297 |  30 yards out, inside towards Tiago, rolls it forward.
[5971.00 - 5973.00] P:1920.07 E:0.107891 |  Court, referee says no foul.
[5973.00 - 5976.00] P:1963.36 E:0.097846 |  Matik, he was checked by Bergwein
[5976.00 - 5978.00] P:1892.62 E:0.109646 |  and he was clearly hindered there as well.
[5978.00 - 5981.00] P:1809.72 E:0.092319 |  And quite rightly this time, it is a free kick,
[5981.00 - 5983.00] P:1774.05 E:0.099309 |  which is awarded by the referee.
[5983.00 - 5986.00] P:1786.17 E:0.084840 |  Taken quickly, Nunez on the outside to Salah,
[5986.00 - 5989.00] P:1702.45 E:0.098277 |  right corner of the area, back to Alex Allen and Arnold.
[5989.00 - 5991.00] P:1948.76 E:0.106019 |  Goes all the way through.
[5991.00 - 5993.00] P:1864.29 E:0.098779 |  Clearance then strikes an Ajax body
[5993.00 - 5996.00] P:1822.02 E:0.099175 |  and rebounds back into the penalty area, cleared away.
[5996.00 - 5998.00] P:1853.00 E:0.083726 |  But Ajax this time managed to get it away
[5998.00 - 6004.00] P:1809.07 E:0.081343 |  and it is still one apiece here with under nine minutes remaining.
[6004.00 - 6006.00] P:1805.35 E:0.091567 |  When that ball was crossed into the box,
[6006.00 - 6012.00] P:1986.82 E:0.090674 |  Liverpool players, five or six in the box, all on the heels.
[6012.00 - 6017.00] P:1846.44 E:0.083329 |  Have to be proactive and gamble.
[6017.00 - 6021.00] P:1880.64 E:0.106246 |  Somebody has to step up for Liverpool.
[6021.00 - 6024.00] P:1852.15 E:0.105684 |  That goal by the way for Eintracht Frankfurt has been disallowed,
[6024.00 - 6027.00] P:1791.32 E:0.111789 |  so they're still only leading by a goal to Niel in Tottenham's group.
[6027.00 - 6031.00] P:1851.40 E:0.095098 |  Tottenham currently second still, despite that defeat earlier today
[6031.00 - 6033.00] P:1706.54 E:0.090562 |  to Sporting Lisbon.
[6033.00 - 6037.00] P:1779.37 E:0.086850 |  Salford though have got a goal at Harrogate late in injury time.
[6037.00 - 6040.00] P:1937.11 E:0.099376 |  Harrogate Niel, Salford one is the latest score in League two.
[6040.00 - 6042.00] P:2005.79 E:0.102860 |  Full time now in the championship,
[6042.00 - 6043.00] P:1783.39 E:0.105442 |  Lee Blakeman in Inwood Park.
[6043.00 - 6046.00] P:1811.29 E:0.096788 |  Two wins out of three for Blackburn, they've beaten Watford two Niel.
[6046.00 - 6048.00] P:1796.01 E:0.101100 |  Well taken goals from Ryan Hedges in the first half
[6048.00 - 6050.00] P:1713.47 E:0.095031 |  and Dom Hyam in the second.
[6050.00 - 6054.00] P:1855.37 E:0.090742 |  Watford have now won just one of their last seven in all competitions.
[6054.00 - 6056.00] P:1779.73 E:0.091125 |  Blackburn two Watford Niel.
[6056.00 - 6058.00] P:1878.15 E:0.102106 |  And full time at Swansea, Laura.
[6058.00 - 6060.00] P:1845.11 E:0.100340 |  Swansea Niel, Sheffield United won.
[6060.00 - 6063.00] P:1833.73 E:0.109893 |  The League leaders extend their lead at the top of the championship.
[6063.00 - 6065.00] P:1875.03 E:0.104889 |  The breakthrough deep in added time,
[6065.00 - 6068.00] P:1833.33 E:0.099644 |  Reddacandra with the goal. Swansea well heartbreak,
[6068.00 - 6071.00] P:1892.82 E:0.099818 |  deserved something out of this, but at full time it's Swansea Niel.
[6071.00 - 6072.00] P:1810.44 E:0.082995 |  Sheffield United won.
[6072.00 - 6074.00] P:1830.05 E:0.122433 |  Liverpool are attacking Salah.
[6074.00 - 6076.00] P:1911.80 E:0.111327 |  Sannouniaz, he's pulled it wide.
[6076.00 - 6080.00] P:1967.96 E:0.112700 |  He was inside the penalty areas about 13 yards out from goal,
[6080.00 - 6084.00] P:1961.54 E:0.105493 |  right footed, took it into his stride and he dragged it wide
[6084.00 - 6087.00] P:1961.90 E:0.106341 |  of the left hand post out for a goal kick, one-one.
[6087.00 - 6092.00] P:1885.65 E:0.093938 |  And this was the opportunity that Jürgen Klopp would have wanted his team
[6092.00 - 6095.00] P:1808.06 E:0.090384 |  to carve out clear cut chance.
[6095.00 - 6100.00] P:1899.66 E:0.084995 |  Really clever from Salah, makes the run right-hand side of the box.
[6100.00 - 6103.00] P:1927.94 E:0.100327 |  And then he just feeds the ball to Nouniaz,
[6103.00 - 6105.00] P:1837.29 E:0.088732 |  who doesn't have to break stride.
[6105.00 - 6108.00] P:1897.25 E:0.085445 |  See, 14 yards out, tries to beat Paswit
[6108.00 - 6112.00] P:1814.32 E:0.098049 |  and pass the ball into the far corner and he passes the ball past
[6112.00 - 6115.00] P:1829.94 E:0.072190 |  the far post.
[6115.00 - 6116.00] P:1824.42 E:0.104356 |  That was the chance.
[6116.00 - 6121.00] P:1909.30 E:0.090972 |  That was the opportunity that Liverpool have been craving for.
[6121.00 - 6125.00] P:1929.58 E:0.097812 |  Chance is few and far between in this second period
[6125.00 - 6131.00] P:1825.83 E:0.082901 |  on what has felt like a frustrating second half for Jürgen Klopp,
[6131.00 - 6134.00] P:1867.11 E:0.104352 |  who's just been having a word with a fourth official.
[6134.00 - 6140.00] P:1783.83 E:0.093927 |  A little bit of time wasting now, creeping into the game of the Ajax players
[6140.00 - 6143.00] P:1880.82 E:0.104473 |  as Basi has mishit that pass, he's overhitted
[6143.00 - 6146.00] P:1847.34 E:0.093904 |  and it's gone out of play for a Liverpool throw.
[6146.00 - 6148.00] P:1999.15 E:0.101717 |  We've got six and a half minutes remaining.
[6148.00 - 6152.00] P:1774.23 E:0.089392 |  There will be a good three, maybe even four minutes of added on time.
[6152.00 - 6157.00] P:1691.37 E:0.094128 |  One would suspect that the substitutions that have happened
[6157.00 - 6160.00] P:1772.88 E:0.099770 |  as the full-time scores are coming in in the football league,
[6160.00 - 6163.00] P:1834.42 E:0.074688 |  but when they're all in, I'll rattle through them.
[6163.00 - 6166.00] P:1939.50 E:0.103326 |  As Liverpool with Firmino keeps the ball in play
[6166.00 - 6169.00] P:1960.88 E:0.101775 |  but forces the ball back towards Thiago.
[6169.00 - 6173.00] P:1792.28 E:0.078549 |  Thiago now to Firmino, to Firmino.
[6173.00 - 6178.00] P:2014.56 E:0.106966 |  Forward ball, Nunez makes the run in behind, left-hand side of the penalty area.
[6178.00 - 6181.00] P:1934.36 E:0.110595 |  Oh, and he crosses the ball low and a backpedaling,
[6181.00 - 6185.00] P:2012.83 E:0.103004 |  Lewis Diaz at the far post couldn't get the touch.
[6185.00 - 6187.00] P:1941.18 E:0.103462 |  Do you know what I think Nunez?
[6187.00 - 6189.00] P:1940.08 E:0.112734 |  I felt he was offside when he made the run,
[6189.00 - 6192.00] P:1935.98 E:0.107519 |  he was actually onside looking at it on the monitor.
[6192.00 - 6195.00] P:1882.13 E:0.105461 |  He does brilliantly, shapes the cross with his left foot
[6195.00 - 6197.00] P:1897.70 E:0.119147 |  and fires the ball across with his right foot.
[6197.00 - 6199.00] P:1925.03 E:0.104807 |  Crucial touch from Pasvir.
[6199.00 - 6204.00] P:1797.97 E:0.100101 |  In comes the corner kick, downward header,
[6204.00 - 6207.00] P:1951.96 E:0.101551 |  scramble inside the six-yard area, Matt, it was there,
[6207.00 - 6210.00] P:1865.29 E:0.092730 |  breaks out towards Lewis Diaz, left-hand side.
[6210.00 - 6212.00] P:2004.54 E:0.100659 |  It was a vital touch, as you say, Chris, from the goalkeeper
[6212.00 - 6216.00] P:1868.84 E:0.086143 |  because otherwise Lewis Diaz was looking at a tap in.
[6216.00 - 6220.00] P:1965.09 E:0.106248 |  Instead it's his cross, that is repelled, Thiago tries to win the ball back
[6220.00 - 6224.00] P:1854.92 E:0.120119 |  and referee Arthur Diaz penalizes Thiago
[6224.00 - 6231.00] P:1889.39 E:0.087693 |  and it will be a free kick to Ajax just outside the penalty area.
[6231.00 - 6236.00] P:1783.36 E:0.094061 |  Bayer-Leverkusen 1, Atletico Madrid 0,
[6236.00 - 6240.00] P:1896.78 E:0.094174 |  Bruz remember earlier in Group B, leading Porto 3-0.
[6240.00 - 6245.00] P:1913.70 E:0.093077 |  Robert Andrick has scored late on in Germany for Bayer-Leverkusen,
[6245.00 - 6249.00] P:1773.82 E:0.088693 |  which will mean that Bruz have six points,
[6249.00 - 6254.00] P:1707.04 E:0.090922 |  Leverkusen and Atletico 3 and Porto yet to pick up a point.
[6254.00 - 6263.00] P:1828.81 E:0.076309 |  Under five minutes remaining as Kudos has come off
[6263.00 - 6267.00] P:1841.91 E:0.076566 |  and Brian Brovie, the young Dutch forward,
[6267.00 - 6270.00] P:1825.51 E:0.096598 |  who returned to Ajax after a spell from Leipzig,
[6270.00 - 6275.00] P:1724.75 E:0.072713 |  has come on to replace him through the middle.
[6275.00 - 6279.00] P:1742.22 E:0.074180 |  Another change as Ajax coming forward,
[6279.00 - 6286.00] P:1728.22 E:0.070717 |  Bruz out to Blint, left-hand side level of the area,
[6286.00 - 6291.00] P:1841.77 E:0.086236 |  cross from Bruz, cleared by Leverkusen towards Thiago.
[6291.00 - 6294.00] P:1888.09 E:0.099600 |  Thiago now over the top, looks towards Nunes,
[6294.00 - 6299.00] P:1873.39 E:0.104904 |  Basi trying to come back at him, Nunes right-hand side of the penalty area,
[6299.00 - 6302.00] P:1921.57 E:0.069458 |  has support from Salah just behind him,
[6302.00 - 6306.00] P:1631.64 E:0.076276 |  runs a little bit away from the Egyptian,
[6306.00 - 6308.00] P:1778.63 E:0.093724 |  and now he goes back towards Matip.
[6308.00 - 6310.00] P:1797.87 E:0.093409 |  Liverpool are leaving it late,
[6310.00 - 6315.00] P:1827.71 E:0.088621 |  1-1 here against Ajax in the Champions League on five-live.
[6315.00 - 6321.00] P:1790.72 E:0.092599 |  Thiago, forward ball cut out by Basi, Thiago wins it back into the penalty area
[6321.00 - 6328.00] P:1937.97 E:0.088274 |  and quickly off his goal line, sliding, was past via the 38-year-old Dutch goalkeeper.
[6328.00 - 6332.00] P:1728.59 E:0.075683 |  Is that a good night?
[6332.00 - 6335.00] P:1838.47 E:0.091205 |  He has had a good night. He was certainly busier in the first half.
[6335.00 - 6346.00] P:1753.30 E:0.081432 |  He was, but that little touch from Nunes when he fired the ball across, absolutely crucial.
[6346.00 - 6350.00] P:1867.99 E:0.103370 |  Bristol Robes have finished that game at Ipswich, down to nine men.
[6350.00 - 6359.00] P:1853.03 E:0.088667 |  Alfie Kilgore has been sent off, Swindon have got a late goal to lead a certain by three goals to two in league two,
[6359.00 - 6369.00] P:1651.05 E:0.074479 |  and Charlton have just had a player sent off as they're drawing 1-1 at home to Forrest Green, still playing.
[6369.00 - 6372.00] P:1629.52 E:0.084128 |  We have under three minutes remaining.
[6372.00 - 6376.00] P:1712.00 E:0.096573 |  You're listening to five-live, you might be listening to the BBC Sounds app as well.
[6376.00 - 6381.00] P:1857.87 E:0.092503 |  Tomorrow our coverage is from the Etihad, Manchester City against Dortmund.
[6381.00 - 6388.00] P:1808.55 E:0.082046 |  Ajax supporters, good 3,000 of them, or just under.
[6388.00 - 6394.00] P:1717.98 E:0.095727 |  We'll probably be held back by the police here at Anfield,
[6394.00 - 6404.00] P:1789.29 E:0.084382 |  but they will be very, very happy with this outcome if it stays like this as van Dijk runs forward.
[6404.00 - 6409.00] P:1833.38 E:0.106309 |  Simicast, left corner of the area with the cross into the air, reaches Salah,
[6409.00 - 6414.00] P:1989.56 E:0.108734 |  mis-controls the ball, shots into deflection, drops down, brushes the left hand post,
[6414.00 - 6418.00] P:1937.15 E:0.111449 |  and goes out of play for a corner kick, Liverpool are lucky.
[6418.00 - 6425.00] P:1874.57 E:0.102580 |  Well, we are right behind this, and Salah, how many times have we seen him whip the ball into that far corner,
[6425.00 - 6431.00] P:1803.49 E:0.084407 |  actually takes it deflection, with Calvin Bassyshyn and loops up,
[6431.00 - 6434.00] P:1907.60 E:0.093894 |  and Pesby are rooted off the poster behind.
[6434.00 - 6440.00] P:1952.47 E:0.113287 |  Corner kick far side, it's an out-swinger from the left, Mattie with a header.
[6440.00 - 6450.00] P:1984.47 E:0.122571 |  The goal stand, Joe Mattie, with just over 60 seconds remain, with a firm header.
[6450.00 - 6455.00] P:1986.26 E:0.121335 |  The goal line clearance for the referee, looked at his watch,
[6455.00 - 6462.00] P:1950.14 E:0.122035 |  and goal line technology, it was all in vain, and Liverpool have left it late,
[6462.00 - 6472.00] P:1871.63 E:0.118745 |  and Joe Mattie, a firm header, gives Liverpool a 2-1 lead for what could be a morale-boosting win.
[6472.00 - 6480.00] P:1930.32 E:0.108974 |  Well, he nearly scored earlier in the half with the header, he should have scored with the header earlier in the half,
[6480.00 - 6485.00] P:1715.77 E:0.113800 |  gets up really well, and goes back across Pazvir.
[6487.00 - 6489.00] P:1864.34 E:0.122651 |  It was Tadich with the goal line.
[6489.00 - 6494.00] P:1698.51 E:0.115554 |  He's behind the line, Tadich is clearly over the line, it's a terrific header,
[6494.00 - 6501.00] P:1670.50 E:0.108110 |  reads the flight to the ball so well, bang, back across, Mattie's the man,
[6501.00 - 6509.00] P:1904.83 E:0.106542 |  and just how big a goal could that be for Liverpool, the Champions League this season.
[6509.00 - 6511.00] P:1768.33 E:0.093380 |  Monumental from Mattie.
[6513.00 - 6519.00] P:1939.08 E:0.118225 |  Liverpool lead by two goals to one, they've struggled to create the opportunities,
[6519.00 - 6524.00] P:1863.66 E:0.094720 |  as Simacast slips just when he needed to try and keep his balance,
[6524.00 - 6529.00] P:1935.37 E:0.107919 |  Ajax here threatening a late equaliser, Tadich the Ajax captain,
[6529.00 - 6534.00] P:1920.08 E:0.118275 |  unable to keep it out at the other end, and Liverpool.
[6535.00 - 6543.00] P:1877.49 E:0.109705 |  You could argue Salah's effort almost went in, they were unlucky on that occasion,
[6543.00 - 6548.00] P:1869.51 E:0.095990 |  and then they had a stroke of fortune with the header from Mattie,
[6548.00 - 6555.00] P:1781.59 E:0.092306 |  Tadich with the header, and Liverpool in the 89th minute leading Ajax by two goals to one.
[6555.00 - 6558.00] P:1930.59 E:0.114308 |  Porto Niel Bruges four is the latest score,
[6559.00 - 6567.00] P:1813.98 E:0.125461 |  but you can clearly hear what it means, the relief inside outfield for these Liverpool supporters,
[6567.00 - 6572.00] P:1900.44 E:0.112712 |  as Vilna is going to be coming on in stoppage time,
[6572.00 - 6576.00] P:1890.44 E:0.113173 |  and he's going to be replacing Lewis Diaz,
[6576.00 - 6582.00] P:1956.54 E:0.113517 |  because this is the last time that they will play a game until the first of October.
[6583.00 - 6587.00] P:1935.14 E:0.119434 |  Huge for them to be going into that break with a win.
[6587.00 - 6591.00] P:1848.61 E:0.119009 |  Yeah, man, listen to the atmosphere, they needed this,
