[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[4613.00 - 4617.00] P:1766.84 E:0.246382 |  Belgium have just dropped off the pace, and they just want to keep the ball moving.
[4617.00 - 4620.00] P:1658.58 E:0.276872 |  England are offering little going forward.
[4620.00 - 4622.00] P:1571.44 E:0.266533 |  There's no imagination.
[4622.00 - 4627.00] P:1694.46 E:0.253960 |  Yes, there's a lot of running around in China-spinning areas, but there's no quality.
[4627.00 - 4631.00] P:1711.84 E:0.199620 |  England nil, Belgium won.
[4631.00 - 4633.00] P:1783.31 E:0.263026 |  There is a 6-0-6, by the way.
[4633.00 - 4637.00] P:1769.77 E:0.286429 |  Tonight, we'd love you to join us as Fellainy takes the ball on.
[4637.00 - 4641.00] P:1881.45 E:0.272440 |  There's a collision there with Eric Daya.
[4641.00 - 4643.00] P:1813.44 E:0.292233 |  Fellainy's been fouled, it's a free kick to Belgium.
[4643.00 - 4648.00] P:1733.77 E:0.255622 |  Daya committed the foul, but I think he was also caught in there as well by a hand
[4648.00 - 4650.00] P:1758.03 E:0.250403 |  as Fellainy went down to the face.
[4650.00 - 4652.00] P:1711.71 E:0.242926 |  I think he might have a scratch on his face.
[4652.00 - 4655.00] P:1779.47 E:0.241448 |  He's okay, he's just putting his hand through his cheek.
[4655.00 - 4660.00] P:1765.70 E:0.241210 |  It's a free kick to Belgium out on the left.
[4660.00 - 4662.00] P:1673.02 E:0.287037 |  It was deliberate, we just saw the replay.
[4662.00 - 4668.00] P:1702.01 E:0.225806 |  The referee has had two cards out already for Belgium, but Daya gets away with one.
[4668.00 - 4671.00] P:1858.63 E:0.182191 |  Free kick then.
[4671.00 - 4675.00] P:1761.05 E:0.259753 |  That's Hawaii, in the absence of the injured Lukaku.
[4675.00 - 4678.00] P:1863.49 E:0.228283 |  Fellainy obviously a threat.
[4678.00 - 4683.00] P:1716.03 E:0.276577 |  Yanisai is going to take this from out on the left flank towards the left side,
[4683.00 - 4684.00] P:1444.34 E:0.281561 |  curls it into the penalty area.
[4684.00 - 4688.00] P:1810.82 E:0.211681 |  Daya's able to twist, unchallenged to head it away.
[4688.00 - 4691.00] P:1728.56 E:0.215977 |  Damballe then back centrally towards Telemans,
[4691.00 - 4696.00] P:1674.62 E:0.267939 |  who places a high pass into the penalty area, but it's easily caught by Jordan.
[4696.00 - 4697.00] P:1600.98 E:0.323197 |  He's in a way city could have gone,
[4697.00 - 4700.00] P:1650.20 E:0.270799 |  and a couple of passes in there before he puts it in the box.
[4700.00 - 4704.00] P:1865.65 E:0.248116 |  Belgium in total control of this game.
[4704.00 - 4708.00] P:1809.08 E:0.298075 |  So one now, Belgium still lead that goal early on in the second half,
[4708.00 - 4715.00] P:1804.54 E:0.246060 |  where Yanisai did extremely well, beat Rose, and then hit a glorious shot
[4715.00 - 4717.00] P:1704.21 E:0.264869 |  beyond Tickford and into the England net.
[4717.00 - 4720.00] P:1791.21 E:0.218334 |  The only goal of the match so far.
[4720.00 - 4728.00] P:1737.56 E:0.231762 |  England against Belgium, England not lost in their last 11 games against Belgium.
[4728.00 - 4732.00] P:1759.35 E:0.249286 |  He has rose on the left hand side, then back towards Rashford,
[4732.00 - 4734.00] P:1719.39 E:0.271080 |  who is challenged and beaten by Fellainy.
[4734.00 - 4736.00] P:1669.09 E:0.263567 |  Does well, good composure from Fellainy.
[4736.00 - 4741.00] P:1660.46 E:0.252507 |  He could be an important figure for Belgium if they go far in this World Cup.
[4741.00 - 4744.00] P:1766.70 E:0.213282 |  And out to the left hand side now to Fomarland,
[4744.00 - 4746.00] P:1632.14 E:0.246006 |  spent much of this season injured.
[4746.00 - 4751.00] P:1724.77 E:0.246179 |  Fellainy if you remember, and then Fomarland's long passes way beyond anyone else.
[4751.00 - 4754.00] P:1545.78 E:0.287664 |  That's why we didn't give him an option at all.
[4754.00 - 4759.00] P:1777.17 E:0.256462 |  He thought it was going to spin in behind, he's played it long for his pace, he's come short.
[4759.00 - 4762.00] P:1753.93 E:0.272798 |  You're right Chris, we're going to see Vincent Kumpenig coming on.
[4762.00 - 4765.00] P:1736.34 E:0.294307 |  You said that at half time, he looked as though you'd be ready.
[4765.00 - 4767.00] P:1810.08 E:0.255261 |  Certainly Roberto Martinez before the match,
[4767.00 - 4770.00] P:1745.09 E:0.269929 |  when we heard him give his FIFA interview, suggested he wasn't going to play.
[4770.00 - 4775.00] P:1732.37 E:0.247594 |  He suggested he wasn't quite right to start, but he is going to come on.
[4777.00 - 4779.00] P:1775.78 E:0.305432 |  And again, like Fellainy,
[4779.00 - 4785.00] P:1786.24 E:0.251601 |  company could be a very important figure for Belgium's World Cup run.
[4785.00 - 4790.00] P:1735.45 E:0.272583 |  Company who's yet to play at this World Cup while he's recovered from that problem.
[4790.00 - 4791.00] P:1739.32 E:0.294500 |  He has Delft for England.
[4791.00 - 4794.00] P:1712.54 E:0.296638 |  Delft trying to play through La Vardy, who couldn't get around.
[4794.00 - 4796.00] P:1639.82 E:0.256504 |  I think it was Dembele who was back in there,
[4796.00 - 4799.00] P:1735.24 E:0.238065 |  and as a result it was played back to Kurzweil who clears from the ground
[4799.00 - 4802.00] P:1590.48 E:0.273625 |  and bounces out of play, and I think we might see this change now.
[4802.00 - 4803.00] P:1670.06 E:0.180562 |  This is it, yeah.
[4804.00 - 4807.00] P:1823.88 E:0.243039 |  For who? Boiata or Vermaulen?
[4807.00 - 4814.00] P:1868.67 E:0.307660 |  I think it's going to be the number three of Vermaulen that we can see it is on the board.
[4814.00 - 4817.00] P:1906.90 E:0.305376 |  We saw a little preview of that.
[4817.00 - 4822.00] P:1807.86 E:0.274741 |  So it is Thomas Vermaulen who relieved the field, he did take that crack on the head,
[4822.00 - 4826.00] P:1752.43 E:0.291032 |  and he's okay, he's got heavily greased right eyebrow.
[4826.00 - 4829.00] P:1622.91 E:0.298478 |  We can see that on the screen here as he's walking off the field.
[4829.00 - 4832.00] P:1711.84 E:0.247718 |  And down below on the pitch, company waiting to come on.
[4832.00 - 4836.00] P:1715.14 E:0.261980 |  There's applause from Vermaulen, the 32-year-old Thomas Vermaulen.
[4836.00 - 4840.00] P:1746.33 E:0.304276 |  And now the captain of Manchester City,
[4840.00 - 4846.00] P:1844.71 E:0.303763 |  Vincent Company at 32 makes his first appearance in this World Cup here in Russia
[4846.00 - 4849.00] P:1715.36 E:0.261570 |  and takes his place in the centre of the Belgian defence.
[4849.00 - 4852.00] P:1646.79 E:0.259767 |  Boiata goes to the left-hand side of the three.
[4852.00 - 4858.00] P:1673.21 E:0.236172 |  I think there will be plays, I think Martina will be happy the way Vermaulen has come through it, he looked good.
[4858.00 - 4865.00] P:1616.24 E:0.223850 |  Vincent Company winning his 78th cap for Belgium tonight, the president as they're calling.
[4865.00 - 4870.00] P:1624.96 E:0.234813 |  England, Niel, Belgium won, 15 minutes left to play.
[4870.00 - 4872.00] P:1637.39 E:0.304584 |  Rose plays the ball down the left flank for Rashford to chase,
[4872.00 - 4875.00] P:1627.80 E:0.299783 |  two England players have gone down there, Rose and Vardy,
[4875.00 - 4880.00] P:1776.99 E:0.227974 |  and the free scumina says it was a free kick for the challenge and Vardy, which was slightly off the ball.
[4880.00 - 4885.00] P:1630.67 E:0.228021 |  Good angle again and Alexander-Arnold comes across,
[4885.00 - 4889.00] P:1734.45 E:0.272804 |  I'm sure he's going to bend his right foot, tells him how to hold in a very high lane,
[4889.00 - 4893.00] P:1805.08 E:0.239441 |  this is what, 25-30 yards, this left-hand side from the by-lane,
[4893.00 - 4898.00] P:1797.25 E:0.232971 |  and it's just about 14 yards from the goal.
[4898.00 - 4903.00] P:1691.55 E:0.232523 |  Chris Waddle with us on five-life, we're watching England attempt to come from behind.
[4903.00 - 4909.00] P:1739.55 E:0.223670 |  It will be England against Columbia in Moscow in the last 16,
[4909.00 - 4913.00] P:1782.55 E:0.230518 |  but if England equalised that would change.
[4913.00 - 4916.00] P:1640.71 E:0.288375 |  Just keep an eye on the big man, Maguire is at the far post,
[4916.00 - 4921.00] P:1776.45 E:0.277009 |  Eric Dyer's taken a position near the penalty spot, Gary Cahill is there as well,
[4921.00 - 4927.00] P:1839.28 E:0.258186 |  the referee's pointing to Eric Dyer, just making the point, but he is in an offside position.
[4927.00 - 4932.00] P:1746.37 E:0.280345 |  Alexander-Arnold plays it in, Maguire at the back post, heads it across, Courtois comes,
[4932.00 - 4937.00] P:1739.82 E:0.318599 |  and is able to collect it quite easily, just took a black glove up and poked it out of the air
[4937.00 - 4941.00] P:1757.64 E:0.278414 |  and sends Belgium off on this latest counter-attack with Dembele,
[4941.00 - 4946.00] P:1712.21 E:0.235720 |  who is quickly surrounded by white England shirts, and passes back to Boyatta,
[4946.00 - 4950.00] P:1694.73 E:0.269698 |  who's attempted ball forward, is blocked out of play by Vardy for a throwing on the far side.
[4950.00 - 4953.00] P:1607.37 E:0.290196 |  This is a set piece, well worked again, Maguire spins around the back,
[4953.00 - 4958.00] P:1765.61 E:0.257066 |  which he's done on many teams or in this tournament, but he's headed back across goals too high.
[4958.00 - 4960.00] P:1797.59 E:0.267074 |  Easy catch for Courtois.
[4960.00 - 4962.00] P:1699.21 E:0.307026 |  There's a threat in there, Maguire, isn't there?
[4962.00 - 4969.00] P:1881.42 E:0.269121 |  Yeah, he's got very dangerous throwing to Belgium on the far side,
[4969.00 - 4975.00] P:1750.57 E:0.262903 |  near the halfway line, we've seen one substitution each so far.
[4975.00 - 4983.00] P:1753.23 E:0.248797 |  They've got Eddyn Hazard warming up now, hence the cheers from the Red Devils,
[4983.00 - 4987.00] P:1722.96 E:0.271160 |  the Diabla Rouge company.
[4987.00 - 4991.00] P:1760.35 E:0.239914 |  Played it from the back, especially from Mark Chapman, he'll have enjoyed that.
[4991.00 - 4998.00] P:1708.38 E:0.255425 |  The lines are open by the way, 606 tonight, 08, 085, 909, 693,
[4998.00 - 5002.00] P:1745.10 E:0.225941 |  to talk about the team that Garas Southgate picked tonight,
[5002.00 - 5005.00] P:1597.10 E:0.250026 |  and did he do the right thing, leaving out Harry Kane,
[5005.00 - 5008.00] P:1574.02 E:0.263422 |  and what about the prospect of playing against Columbia?
[5008.00 - 5011.00] P:1754.92 E:0.231968 |  Here they'll come, Belgium with Fellini on the left hand side,
[5011.00 - 5014.00] P:1730.51 E:0.241342 |  who crosses into the opposite full-back position, however,
[5014.00 - 5016.00] P:1704.26 E:0.259090 |  Belgium still in possession with Chadley,
[5016.00 - 5019.00] P:1652.30 E:0.251349 |  I think we are going to see Danny Weldback coming on very shortly
[5019.00 - 5024.00] P:1790.64 E:0.227079 |  for his first taste of this World Cup, and Janerzai is then challenged,
[5024.00 - 5027.00] P:1681.60 E:0.246098 |  unbeaten by Delph actually, and it's out of play for a throw level
[5027.00 - 5029.00] P:1624.39 E:0.237474 |  with the edge of the penalty area.
[5029.00 - 5033.00] P:1678.96 E:0.275056 |  The outlines open 08, 085, 909, 693, Kelly Cates is going to be hosting
[5033.00 - 5036.00] P:1693.79 E:0.289452 |  the programme tonight from Red Square, our studio in Red Square,
[5036.00 - 5040.00] P:1728.74 E:0.245145 |  Terry Butcher is going to be with her, getting touch as well,
[5040.00 - 5044.00] P:1717.31 E:0.272272 |  and we'll be back with a 5-life sport at BBC 606 on your social media,
[5044.00 - 5050.00] P:1632.15 E:0.256669 |  or you can text on 85058 to talk to Terry, and to Kelly Cates
[5050.00 - 5053.00] P:1651.79 E:0.258375 |  about what lies next for England.
[5053.00 - 5057.00] P:1691.21 E:0.251969 |  At the moment, what lies next will be Columbia.
[5057.00 - 5061.00] P:1742.75 E:0.260016 |  Here's Dyer to Delph.
[5061.00 - 5064.00] P:1681.25 E:0.274855 |  Delph, long pass high over the top down the...
[5064.00 - 5067.00] P:1774.55 E:0.270700 |  the England left, Chadley stumbles,
[5067.00 - 5070.00] P:1740.96 E:0.281577 |  that's because there's a little snudge by Rashford, and it's a free-kick.
[5070.00 - 5074.00] P:1789.59 E:0.250754 |  Yes, a substitution. Weldback coming on for Vardy, is it?
[5074.00 - 5081.00] P:1842.43 E:0.203483 |  Nope. Weldback is going to be coming on in actual fact
[5081.00 - 5085.00] P:1809.22 E:0.275273 |  for Trent Alexander Arnold.
[5085.00 - 5088.00] P:1784.14 E:0.284339 |  Hmm? Just an interesting one.
[5088.00 - 5091.00] P:1795.81 E:0.289628 |  So what are England going to do here, Chris?
[5091.00 - 5095.00] P:1822.63 E:0.233443 |  The messages play, Loftus cheek.
[5095.00 - 5101.00] P:1744.90 E:0.286899 |  Actually, it's Rashford's going out to that right-hand side,
[5101.00 - 5107.00] P:1822.53 E:0.263637 |  Rashford to a right-wingback position.
[5107.00 - 5111.00] P:1809.63 E:0.237948 |  Well, what do you think of that?
[5111.00 - 5116.00] P:1751.48 E:0.239816 |  Well, no one expected to see that here.
[5116.00 - 5119.00] P:1611.15 E:0.186450 |  Never seen that before, that's a new one.
[5119.00 - 5123.00] P:1729.11 E:0.221168 |  Well, there's something to talk about on 606 for starters.
[5123.00 - 5127.00] P:1645.73 E:0.234359 |  Marcus Rashford now, with Trent Alexander Arnold going off,
[5127.00 - 5130.00] P:1667.17 E:0.199237 |  is playing in a right-wingback position.
[5130.00 - 5135.00] P:1648.10 E:0.247218 |  And Danny Weldback has taken a position up front at the moment
[5135.00 - 5137.00] P:1761.07 E:0.190467 |  through the middle with Jamie Vardy.
[5137.00 - 5140.00] P:1778.70 E:0.267631 |  Must have been something that they've been thinking about.
[5140.00 - 5143.00] P:1748.56 E:0.247914 |  Gareth Southgate and Steve Holland, England, Nile, Belgium won.
[5143.00 - 5145.00] P:1820.44 E:0.209983 |  They've saw something.
[5145.00 - 5149.00] P:1772.05 E:0.256673 |  And we have got just over 10 minutes to play before 606.
[5149.00 - 5152.00] P:1615.17 E:0.302449 |  We're bringing the interviews as well, live into 606 from Gareth Southgate.
[5152.00 - 5154.00] P:1714.53 E:0.255421 |  I must make a note of that to ask him about.
[5154.00 - 5158.00] P:1753.55 E:0.293964 |  Rashford is right-wingback, but here Loftus cheek has been shoved over.
[5158.00 - 5161.00] P:1768.68 E:0.264671 |  Challenge from behind, free-kick and a good position out towards the right.
[5161.00 - 5165.00] P:1661.17 E:0.224816 |  Well, Alexander Arnold has gone off, so who's going to take it?
[5165.00 - 5167.00] P:1762.07 E:0.231652 |  Is it Rashford? He fancies it?
[5167.00 - 5168.00] P:1726.22 E:0.213680 |  Well, he surely will.
[5168.00 - 5170.00] P:1770.34 E:0.203929 |  Yeah, why not?
[5170.00 - 5173.00] P:1731.56 E:0.279465 |  It's from round about the position where he scored from open play
[5173.00 - 5175.00] P:1597.21 E:0.278962 |  admittedly against Costa Rica with that brilliant shot.
[5175.00 - 5177.00] P:1661.70 E:0.288214 |  Well, there's a lot talking here.
[5177.00 - 5179.00] P:1763.52 E:0.294118 |  Who'd be wanting to shoot here, Rashford?
[5179.00 - 5181.00] P:1456.37 E:0.294631 |  There'll be a lot of them saying, look, I'm going to spin round the back.
[5181.00 - 5183.00] P:1867.68 E:0.214898 |  Can you clip it to the far post?
[5183.00 - 5185.00] P:1792.82 E:0.230156 |  There'll be a lot going on here.
[5185.00 - 5188.00] P:1775.05 E:0.210006 |  Belgium are winning 1-0.
[5188.00 - 5194.00] P:1677.65 E:0.282425 |  Referee Scamina sprays out the line about one straight outside of the penalty area.
[5194.00 - 5196.00] P:1686.39 E:0.257857 |  As I say, it is towards the right.
[5196.00 - 5197.00] P:1691.66 E:0.249999 |  It's right of centre.
[5197.00 - 5202.00] P:1807.33 E:0.230986 |  Four, five England players have been in discussion about this.
[5202.00 - 5204.00] P:1645.31 E:0.263036 |  They've all now begun to walk away.
[5204.00 - 5208.00] P:1813.54 E:0.234769 |  Eric Dyer, captain on the night, has left it to Marcus Rashford.
[5208.00 - 5211.00] P:1729.40 E:0.240508 |  And Loftus Cheek just standing to the left of the ball.
[5211.00 - 5214.00] P:1764.73 E:0.255604 |  England players have taken up positions on the edge of the wall.
[5214.00 - 5216.00] P:1571.26 E:0.252829 |  K. Helen McGuire is definitely going to shoot.
[5216.00 - 5218.00] P:1771.49 E:0.240754 |  And so Marcus Rashford is ready.
[5218.00 - 5223.00] P:1773.18 E:0.254011 |  England 1-0 down, heading to play Columbia, but it'll change up the equaliser.
[5223.00 - 5226.00] P:1701.81 E:0.312431 |  Rashford goes for goal and whips it over the bar, but over the wall as well.
[5226.00 - 5229.00] P:1642.41 E:0.278876 |  A little hop and a skip by Courtois, but he knew it was going over the top.
[5229.00 - 5231.00] P:1651.68 E:0.262249 |  Yeah, good goalkeeping, good position as well.
[5231.00 - 5233.00] P:1698.51 E:0.296619 |  You know, sometimes the movie just...
[5233.00 - 5235.00] P:1755.63 E:0.278070 |  He always had a cover. He didn't need to touch it.
[5235.00 - 5238.00] P:1614.82 E:0.261806 |  It was always going high over the bar.
[5238.00 - 5239.00] P:1624.48 E:0.219637 |  Didn't trouble him at all.
[5239.00 - 5240.00] P:1749.74 E:0.171465 |  Got a south gate.
[5240.00 - 5243.00] P:1635.14 E:0.277193 |  It's more like waistcoat weather this evening, isn't it?
[5243.00 - 5246.00] P:1604.77 E:0.257270 |  As opposed to initially Norfolk Road, where it was sweltering.
[5246.00 - 5249.00] P:1580.07 E:0.265723 |  Down there, we can see him in the blue shirt, waistcoat on.
[5249.00 - 5252.00] P:1664.45 E:0.268597 |  But at the moment England are heading to defeat,
[5252.00 - 5255.00] P:1781.91 E:0.239814 |  which will be their first defeat for over a year.
[5255.00 - 5257.00] P:1681.69 E:0.279463 |  Fellainy plays it over the top, but that's beyond Batuai.
[5257.00 - 5258.00] P:1739.41 E:0.242441 |  Pickford's got it.
[5258.00 - 5259.00] P:1660.37 E:0.250775 |  Fellainy was excellent first half.
[5259.00 - 5261.00] P:1696.34 E:0.263445 |  I've got to say he's had a very poor second half.
[5261.00 - 5263.00] P:1531.18 E:0.256275 |  He's not really won his battles.
[5263.00 - 5264.00] P:1607.70 E:0.274672 |  He's not used the ball well.
[5264.00 - 5267.00] P:1660.04 E:0.215455 |  He had a really good first half.
[5267.00 - 5269.00] P:1660.45 E:0.242524 |  We're in the last 10 minutes now.
[5269.00 - 5272.00] P:1726.95 E:0.243756 |  And it seems, if it stays like this,
[5272.00 - 5274.00] P:1563.40 E:0.269276 |  that we'll be following all of the England fans.
[5274.00 - 5279.00] P:1741.22 E:0.268970 |  If anyone to come and join in with this World Cup party.
[5279.00 - 5281.00] P:1781.01 E:0.286155 |  And it really is quite an atmosphere
[5281.00 - 5284.00] P:1729.76 E:0.262475 |  and quite a thing to behold this Russian World Cup.
[5284.00 - 5287.00] P:1730.39 E:0.228554 |  Well, they will be accessible in the last 16
[5287.00 - 5290.00] P:1665.18 E:0.248565 |  because they'll be in Moscow if you can get your hands on a ticket.
[5290.00 - 5293.00] P:1855.17 E:0.223899 |  England nil, Belgium won.
[5293.00 - 5295.00] P:1760.83 E:0.304433 |  And now Harry Maguire steps forward
[5295.00 - 5297.00] P:1634.63 E:0.271997 |  and lifts the ball over the top with an angle
[5297.00 - 5298.00] P:1755.48 E:0.277401 |  into the full-back position.
[5298.00 - 5301.00] P:1799.02 E:0.265232 |  Rose catches up with it, chips it round the defender.
[5301.00 - 5303.00] P:1732.63 E:0.297259 |  But then there's a covering challenge as well
[5303.00 - 5306.00] P:1784.55 E:0.289180 |  from Ben Donca, who has deflected it out for a corner
[5306.00 - 5308.00] P:1765.04 E:0.282891 |  to England from the left.
[5308.00 - 5309.00] P:1679.01 E:0.257454 |  Another set piece.
[5309.00 - 5311.00] P:1682.45 E:0.253636 |  Yeah, I mean, England's having a goal,
[5311.00 - 5313.00] P:1680.43 E:0.284718 |  trying to get back into the buttocks.
[5313.00 - 5314.00] P:1671.26 E:0.247275 |  They're not trouble courts.
[5314.00 - 5316.00] P:1547.56 E:0.307491 |  There's not a lot of quality, John.
[5316.00 - 5317.00] P:1569.07 E:0.308592 |  For all, there's a lot of honesty.
[5317.00 - 5318.00] P:1786.80 E:0.208795 |  They've upped the tempo.
[5318.00 - 5319.00] P:1539.62 E:0.321641 |  They're working hard.
[5319.00 - 5321.00] P:1906.39 E:0.242966 |  And they're trying to make something happen.
[5321.00 - 5323.00] P:1729.28 E:0.213789 |  Look at little joy.
[5323.00 - 5326.00] P:1746.78 E:0.249186 |  There might be a set piece from this where they'll get the goal.
[5326.00 - 5330.00] P:1602.03 E:0.265826 |  Danny Weldek has taken up a position outside of the penalty area.
[5330.00 - 5332.00] P:1783.29 E:0.288927 |  He's winning his 40th cap tonight, Danny Weldek.
[5332.00 - 5334.00] P:1564.25 E:0.292488 |  Decent goal-scoring record for England.
[5334.00 - 5336.00] P:1668.07 E:0.258526 |  Now involved in this World Cup.
[5336.00 - 5339.00] P:1685.70 E:0.253003 |  But where's Harry Maguire? That's the key for the corner,
[5339.00 - 5340.00] P:1750.87 E:0.309647 |  which is taken by Rashford.
[5340.00 - 5342.00] P:1669.31 E:0.298890 |  Cordoire comes, gets a punch, comes out to Weldek,
[5342.00 - 5347.00] P:1780.21 E:0.303751 |  who shoots across goal and it's deflected wide by the right leg of Fellini.
[5347.00 - 5348.00] P:1876.47 E:0.249305 |  Corner.
[5348.00 - 5349.00] P:1698.60 E:0.262396 |  Yes, that's the best of second hours,
[5349.00 - 5352.00] P:1699.33 E:0.266269 |  but that was a very important touch, wasn't it?
[5352.00 - 5354.00] P:1787.66 E:0.281098 |  Cordoire makes a little bit of a mess of it,
[5354.00 - 5356.00] P:1734.13 E:0.229569 |  comes back in at the don't-of-order,
[5356.00 - 5359.00] P:1569.35 E:0.285196 |  went in the bottom corner, Fellini clears it, another corner.
[5359.00 - 5362.00] P:1780.79 E:0.238790 |  Rashford now the corner take-up.
[5362.00 - 5363.00] P:1602.97 E:0.288472 |  And here's the delivery.
[5363.00 - 5365.00] P:1650.84 E:0.302432 |  Cordoire, easy catch into the black gloves.
[5365.00 - 5367.00] P:1769.74 E:0.233214 |  It sticks.
[5367.00 - 5370.00] P:1710.24 E:0.270880 |  Almost as if they were made of India rubber.
[5370.00 - 5371.00] P:1644.33 E:0.248966 |  God, keep up.
[5371.00 - 5372.00] P:1474.48 E:0.242623 |  He's a very good goalkeeper, hasn't he?
[5372.00 - 5374.00] P:1773.45 E:0.192656 |  Imposing.
[5374.00 - 5376.00] P:1648.86 E:0.299886 |  Quite amusingly yesterday, I was watching them warm up
[5376.00 - 5378.00] P:1765.21 E:0.238985 |  when we were allowed into training.
[5378.00 - 5382.00] P:1782.04 E:0.232106 |  And Simon Minoulet actually mishandled a shot,
[5382.00 - 5385.00] P:1683.62 E:0.222213 |  and it hit Cordoire on the back of the head and pole-axed him.
[5385.00 - 5388.00] P:1808.88 E:0.211573 |  England nil, Belgium won.
[5388.00 - 5391.00] P:1763.70 E:0.233874 |  Here is Torgan Azard on the left-hand side.
[5391.00 - 5393.00] P:1820.77 E:0.246833 |  Still no sign of any further substitution.
[5393.00 - 5396.00] P:1863.60 E:0.186805 |  England have made two.
[5396.00 - 5400.00] P:1819.62 E:0.236387 |  But the intention tonight, the primary intention,
[5400.00 - 5403.00] P:1845.16 E:0.244431 |  was to rest players for the last 16
[5403.00 - 5405.00] P:1784.41 E:0.261876 |  with qualification already secured.
[5405.00 - 5408.00] P:1787.85 E:0.245699 |  So we've not seen Kane, we've not seen Lingard, Henderson,
[5408.00 - 5410.00] P:1904.51 E:0.216976 |  Walker, Sterling.
[5410.00 - 5414.00] P:1742.34 E:0.255251 |  And the question will be 08085909693.
[5414.00 - 5417.00] P:1698.86 E:0.231265 |  Has anyone here tonight furthered their cause
[5417.00 - 5422.00] P:1803.02 E:0.226852 |  and made a case to be involved in the starting line-up
[5422.00 - 5425.00] P:1809.03 E:0.252031 |  against Columbia if indeed it is to be Columbia?
[5425.00 - 5428.00] P:1857.46 E:0.192389 |  No, not for me.
[5428.00 - 5432.00] P:1802.20 E:0.242559 |  So you can ask Terry the same question
[5432.00 - 5436.00] P:1686.63 E:0.271835 |  with Kelly Kate on 0606 on 08085909693.
[5436.00 - 5440.00] P:1708.17 E:0.174478 |  The lines are open.
[5440.00 - 5444.00] P:1723.69 E:0.216744 |  Here's Rashford, right-wing back Rashford.
[5444.00 - 5448.00] P:1708.80 E:0.229509 |  And corner taker and free kick taker now
[5448.00 - 5450.00] P:1714.00 E:0.205765 |  that Alexander Arnold is off the field.
[5450.00 - 5454.00] P:1683.32 E:0.215491 |  Back it comes to Maguire, now Dyer,
[5454.00 - 5457.00] P:1623.52 E:0.239282 |  Delph, Belgium very much sitting off England now.
[5457.00 - 5459.00] P:1663.31 E:0.273672 |  And Danny Rose then taking on Chaddly
[5459.00 - 5461.00] P:1597.03 E:0.288842 |  and crossing left-footed and headed away by Boyatter.
[5461.00 - 5463.00] P:1623.36 E:0.232025 |  Back out to the side from where it came.
[5463.00 - 5468.00] P:1791.69 E:0.200984 |  Danny Rose challenging and fouling Denbully.
[5468.00 - 5471.00] P:1640.84 E:0.291236 |  Referee says no free kick or at least he's going to play
[5471.00 - 5473.00] P:1774.40 E:0.223052 |  an advantage with Telemans in possession
[5473.00 - 5475.00] P:1605.38 E:0.247685 |  approaching the halfway line.
[5475.00 - 5477.00] P:1466.52 E:0.272304 |  Now Yannisai, little stumble from him.
[5477.00 - 5479.00] P:1496.21 E:0.243868 |  The goal scorer, Adnan Yannisai.
[5479.00 - 5481.00] P:1680.43 E:0.258463 |  And then Telemans challenged by Vardy
[5481.00 - 5483.00] P:1590.66 E:0.319910 |  and as a result gives it away.
[5483.00 - 5487.00] P:1746.27 E:0.282731 |  And now Loftus Cheek drifts around Boyatter so easily.
[5487.00 - 5491.00] P:1820.65 E:0.261849 |  And Loftus Cheek overhits the chip looking for Weldbeck
[5491.00 - 5494.00] P:1713.74 E:0.296057 |  and it just drifts over the crossbar and behind.
[5494.00 - 5495.00] P:1734.98 E:0.252177 |  That's a couple he's done tonight.
[5495.00 - 5496.00] P:1638.13 E:0.286131 |  Has a great position.
[5496.00 - 5499.00] P:1754.58 E:0.272934 |  Just standing up at the far post and he's miss-hit it yet again
[5499.00 - 5501.00] P:1717.60 E:0.251674 |  and he has a sub-murtains come on.
[5501.00 - 5505.00] P:1836.01 E:0.248031 |  Yep, second Belgian change.
[5505.00 - 5510.00] P:1895.49 E:0.301653 |  For Yannisai, it's going to be Mertens.
[5510.00 - 5516.00] P:1817.08 E:0.284106 |  Dries Mertens of Napoli replacing the goal scorer, Adnan Yannisai.
[5516.00 - 5517.00] P:1752.80 E:0.299141 |  He's had a good night.
[5517.00 - 5520.00] P:1751.96 E:0.309661 |  In terms of England players furthering their course.
[5520.00 - 5522.00] P:1756.62 E:0.293633 |  Yannisai has certainly done that with Belgium.
[5522.00 - 5524.00] P:1684.26 E:0.319194 |  I thought he's played with Dany Rose really well.
[5524.00 - 5526.00] P:1716.52 E:0.295116 |  I think he's had to beat them a lot of times.
[5526.00 - 5528.00] P:1711.00 E:0.232036 |  He's picked the ball up and what a goal.
[5528.00 - 5531.00] P:1676.80 E:0.205587 |  What a fantastic goal. Make sure you see it.
[5531.00 - 5537.00] P:1637.58 E:0.241022 |  So Belgium's number 13, the experienced Dries Mertens of Napoli
[5537.00 - 5539.00] P:1453.06 E:0.246489 |  who's had a couple of excellent seasons there,
[5539.00 - 5541.00] P:1523.15 E:0.210561 |  is onto the field.
[5541.00 - 5545.00] P:1549.67 E:0.246263 |  And Mertens, who had a little bit of a problem.
[5545.00 - 5548.00] P:1547.35 E:0.245804 |  I don't think it was any more than that, an ankle issue,
[5548.00 - 5551.00] P:1651.10 E:0.265516 |  but clearly it's not too serious because he's on the field now for Belgium.
[5551.00 - 5553.00] P:1768.04 E:0.236867 |  We're into the last five minutes.
