[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[5094.00 - 5097.00] P:1751.87 E:0.191184 |  It's with Rose. There's nobody wide on the left-hand side for Danny Rose.
[5097.00 - 5101.00] P:1638.71 E:0.198623 |  So he comes forward and obviously, inevitably, he runs into an Iceland challenge
[5101.00 - 5105.00] P:1696.34 E:0.178205 |  and the ball squirts into the England half and I had to play for an England throw-in,
[5105.00 - 5107.00] P:1770.72 E:0.176903 |  which is taken by Joe Hart.
[5107.00 - 5112.00] P:1741.10 E:0.159295 |  82 minutes gone. One header from Harry Kane on target in the second half.
[5112.00 - 5114.00] P:1662.38 E:0.151833 |  That is it. Not good enough.
[5114.00 - 5117.00] P:1682.19 E:0.151782 |  Kay Hill for England.
[5117.00 - 5119.00] P:1730.29 E:0.187849 |  Leaves it for Wiltshire.
[5119.00 - 5123.00] P:1789.13 E:0.180200 |  Wiltshire has Walker inside and it goes to the right fullback.
[5123.00 - 5126.00] P:1653.04 E:0.197579 |  But look at the players further forward. Who's making the run?
[5126.00 - 5128.00] P:1843.48 E:0.176366 |  The pass goes to Kane.
[5128.00 - 5130.00] P:1793.24 E:0.180466 |  Kane almost lost possession, carelessly.
[5130.00 - 5132.00] P:1816.60 E:0.144720 |  It comes back to Smalling.
[5132.00 - 5135.00] P:1707.36 E:0.193490 |  On line to Rooney. Rose is available on the left side.
[5135.00 - 5138.00] P:1799.36 E:0.167208 |  Rose takes it up into Alley.
[5138.00 - 5140.00] P:1718.49 E:0.176590 |  Alley about 30 yards from goal.
[5140.00 - 5142.00] P:1791.24 E:0.186472 |  Alley now to Kane.
[5142.00 - 5144.00] P:1532.69 E:0.184656 |  Kane took it off the ball, probably waiting for the challenge.
[5144.00 - 5148.00] P:1730.47 E:0.181101 |  And it's Bjarnesson on the far side of the field who wins it for Iceland.
[5148.00 - 5152.00] P:1698.74 E:0.178822 |  Back to the left fullback, Skullisen and Coughlin played forward to Guilfrey Sigurdsson.
[5152.00 - 5154.00] P:1811.64 E:0.193253 |  Bjarnesson again, driving it forward.
[5154.00 - 5157.00] P:1789.76 E:0.191579 |  And do you know something? They've still left two players off field, Iceland.
[5157.00 - 5159.00] P:1715.00 E:0.209481 |  They've got to be careful. England are playing two on one at points.
[5159.00 - 5161.00] P:1774.83 E:0.215015 |  Oh, there's a good ball through. The captain's after it.
[5161.00 - 5163.00] P:1837.16 E:0.199988 |  Gunnarsson, end of the penalty here.
[5163.00 - 5166.00] P:1783.82 E:0.223962 |  Gunnarsson still going forward, should save by Hart.
[5166.00 - 5169.00] P:1833.10 E:0.172837 |  Could have been three-one easily.
[5169.00 - 5172.00] P:1875.00 E:0.211629 |  Again, lucky, lucky England.
[5172.00 - 5175.00] P:1950.60 E:0.186216 |  Jack Wiltshire does his best to track back.
[5175.00 - 5178.00] P:1990.49 E:0.159542 |  But he's just brushed aside by the skipper.
[5178.00 - 5182.00] P:1965.61 E:0.171448 |  Who gets it caught under his feet but still manages to get the shot away.
[5182.00 - 5187.00] P:1858.50 E:0.158747 |  Again, fortunate, was a comfortable save in the end for Jo Hart.
[5187.00 - 5191.00] P:1839.15 E:0.194413 |  The lines are open for 6-0-6. 0-500, 9-0-9, 6-9-3.
[5191.00 - 5193.00] P:1782.63 E:0.189634 |  I think the lines might be jammed.
[5193.00 - 5198.00] P:1813.08 E:0.163669 |  Well, less than seven minutes to go before any added time.
[5198.00 - 5200.00] P:1839.56 E:0.145412 |  Iceland have carried more threat.
[5200.00 - 5202.00] P:1774.40 E:0.141978 |  Goal threat in the second half. They've got a corner.
[5202.00 - 5205.00] P:1576.88 E:0.197534 |  Played in, the header was then wide of goal.
[5205.00 - 5208.00] P:1801.08 E:0.168178 |  Hart rushes to get in the ball to take the goal kick as quickly as he can.
[5208.00 - 5210.00] P:1743.74 E:0.176319 |  I said that earlier, Alan.
[5210.00 - 5214.00] P:1706.87 E:0.148683 |  Iceland have created more opportunities in the second half than England have.
[5216.00 - 5218.00] P:1601.68 E:0.135423 |  It's desperate.
[5218.00 - 5221.00] P:1563.53 E:0.181777 |  Where's the next substitution?
[5221.00 - 5223.00] P:1641.60 E:0.188766 |  Rashford has put his bib back on, he's warming up again.
[5223.00 - 5225.00] P:1546.04 E:0.184445 |  He was stripped off by his come on.
[5225.00 - 5227.00] P:1343.08 E:0.191957 |  James Milner's warming up.
[5227.00 - 5231.00] P:1631.65 E:0.170318 |  Roy, we've created one chance in the second half.
[5231.00 - 5235.00] P:1552.46 E:0.187834 |  The thing either Rashford or Milner could provide with.
[5235.00 - 5240.00] P:1569.56 E:0.167710 |  Something's got to change in this last 5-1.5 minutes.
[5240.00 - 5246.00] P:1485.14 E:0.163003 |  As against Slovakia, we wonder about the man on television at the moment.
[5246.00 - 5250.00] P:1486.59 E:0.182234 |  Roy Hodson is his thinking clear now?
[5250.00 - 5253.00] P:1688.04 E:0.149502 |  If it is, has it been transmitted to the players?
[5253.00 - 5255.00] P:1544.12 E:0.176998 |  Are they responding?
[5255.00 - 5258.00] P:1704.80 E:0.173683 |  Here's Alan, into Kane, 35 yards of goal.
[5258.00 - 5260.00] P:1657.32 E:0.192985 |  On it goes, party inside the penalty area.
[5260.00 - 5262.00] P:1748.86 E:0.189512 |  Angle's very acute, party crosses low.
[5262.00 - 5264.00] P:1906.71 E:0.158864 |  Hit high, Kane jumps, Kane heads it down.
[5264.00 - 5267.00] P:1852.01 E:0.194450 |  Brought down by storage, not quickly enough.
[5267.00 - 5270.00] P:1767.94 E:0.167672 |  The flag is up for offside and it's a free kick to Iceland.
[5270.00 - 5274.00] P:1853.54 E:0.179278 |  We've got a bit over 5 minutes to go here in 5-5.
[5274.00 - 5276.00] P:1716.19 E:0.172451 |  Iceland are now going to run the clock down.
[5276.00 - 5281.00] P:1840.51 E:0.162027 |  They're going to boot the ball long as often as they possibly can.
[5281.00 - 5284.00] P:1856.76 E:0.178031 |  And try and just kill the game every opportunity.
[5284.00 - 5289.00] P:1820.29 E:0.173717 |  You normally get at least a good chance in the last 5 minutes.
[5289.00 - 5292.00] P:1720.10 E:0.193640 |  England have created one in 45 minutes.
[5292.00 - 5295.00] P:1800.01 E:0.184632 |  They'll probably get one or two chances.
[5295.00 - 5298.00] P:1761.44 E:0.169961 |  Somebody has got to put it away.
[5298.00 - 5300.00] P:1836.39 E:0.151921 |  Rashford's bib is off.
[5300.00 - 5303.00] P:1786.59 E:0.165837 |  Hodson is standing about 3 yards to his left.
[5303.00 - 5308.00] P:1696.65 E:0.140813 |  There's a hole-of-the-in play for a free kick to Iceland.
[5308.00 - 5310.00] P:1712.69 E:0.159316 |  The substitution can be made now.
[5310.00 - 5312.00] P:1454.43 E:0.159343 |  The fourth official is woken up.
[5312.00 - 5315.00] P:1731.48 E:0.142540 |  That's a number 22 in Rashford's back.
[5315.00 - 5318.00] P:1716.80 E:0.147046 |  What's the number of the England players going to be taken off?
[5318.00 - 5320.00] P:1607.33 E:0.171588 |  We'll not see it yet because Iceland are taking the free kick.
[5320.00 - 5324.00] P:1693.52 E:0.174760 |  Play towards the left side and a glancing header out by Iceland
[5324.00 - 5325.00] P:1724.81 E:0.177943 |  for a throw into England.
[5325.00 - 5327.00] P:1555.65 E:0.171602 |  Deep inside that England half.
[5327.00 - 5331.00] P:1745.02 E:0.143079 |  It's Wayne Rooney who's coming off.
[5331.00 - 5335.00] P:1882.70 E:0.146245 |  Well, almost that sums it up.
[5335.00 - 5339.00] P:1785.73 E:0.193304 |  Rooney unquestionably in storage where England's best players before half-time.
[5339.00 - 5345.00] P:1881.55 E:0.173433 |  I think he's the contribution of the captain to the fell away in the second half.
[5345.00 - 5349.00] P:1848.75 E:0.199698 |  But it's a United colleague who replaces the United captain.
[5349.00 - 5353.00] P:1760.17 E:0.187464 |  I'll tell you what, Roy hasn't half-made a rod for his own back, has he?
[5353.00 - 5358.00] P:1759.57 E:0.180579 |  Playing Raheem Sterling against popular opinion,
[5358.00 - 5361.00] P:1830.46 E:0.191298 |  taking off England's greatest goal scorer
[5361.00 - 5364.00] P:1794.53 E:0.150415 |  in the last four minutes of a match when you're desperate to score a goal.
[5364.00 - 5369.00] P:1619.70 E:0.147257 |  If this doesn't work, I think bye-bye, Roy.
[5369.00 - 5372.00] P:1724.19 E:0.162394 |  Well, here's Rashford.
[5372.00 - 5375.00] P:1685.00 E:0.166474 |  Allie runs forward, was tackled.
[5375.00 - 5379.00] P:1712.91 E:0.177798 |  The ball breaks to Rashford and finally the referee gives an England free kick.
[5379.00 - 5382.00] P:1673.43 E:0.188181 |  Oh, goodness. Allie far too aggressive there
[5382.00 - 5384.00] P:1657.96 E:0.161856 |  and taking the ball back from the Icelandic clear.
[5384.00 - 5387.00] P:1755.19 E:0.193087 |  And then he had a word to say to the referee's gamina.
[5387.00 - 5390.00] P:1705.00 E:0.140597 |  He ran away before he could be booked.
[5390.00 - 5394.00] P:1774.70 E:0.182474 |  England tried to steal a couple of yards, moving the ball in field.
[5394.00 - 5397.00] P:1755.90 E:0.167428 |  It's from the left side for England. Harry Kane to the liver.
[5397.00 - 5399.00] P:1802.56 E:0.176490 |  Three minutes of the 90 to go.
[5399.00 - 5402.00] P:1887.12 E:0.162174 |  England trail Iceland 2-1.
[5402.00 - 5405.00] P:1830.47 E:0.178606 |  England need a goal to take us to extra time.
[5405.00 - 5409.00] P:1800.43 E:0.164242 |  Kane right-footed, plays it wildly over-hitting it.
[5409.00 - 5411.00] P:1691.21 E:0.187337 |  Wildly over-hitting it.
[5411.00 - 5414.00] P:1741.36 E:0.206491 |  Awful. Chris Waddle.
[5414.00 - 5416.00] P:1769.44 E:0.227359 |  I can't believe what I'm watching. I'm sorry.
[5416.00 - 5418.00] P:1636.08 E:0.216112 |  I've just lost four words, Allie.
[5418.00 - 5420.00] P:1689.57 E:0.186921 |  I know England's had some bad results over the years,
[5420.00 - 5423.00] P:1553.45 E:0.175425 |  but to lose to Iceland, I just can't work it out.
[5423.00 - 5427.00] P:1609.05 E:0.158277 |  It's the worst result I've ever seen.
[5427.00 - 5430.00] P:1689.70 E:0.170746 |  Summs it up, as always from Chris Waddle.
[5430.00 - 5432.00] P:1802.98 E:0.162005 |  Ian Dennis' pitchside.
[5432.00 - 5436.00] P:1778.82 E:0.181069 |  Huge show of disapproval with that wasted free kick.
[5436.00 - 5439.00] P:1787.97 E:0.175162 |  The supporters, they're moved before was restless.
[5439.00 - 5442.00] P:1747.79 E:0.174478 |  Now it's just downright angry.
[5442.00 - 5447.00] P:1741.72 E:0.170279 |  Now Trostecin, who scored the winning goal in added time against Austria,
[5447.00 - 5450.00] P:1734.46 E:0.166241 |  he will replace Brud Varsen.
[5450.00 - 5453.00] P:1867.35 E:0.197136 |  We thought he was coming off a few minutes ago.
[5453.00 - 5456.00] P:1925.61 E:0.189408 |  So he makes his way. He's exhausted.
[5456.00 - 5459.00] P:1809.93 E:0.163488 |  I'm not blaming him for trotting slowly.
[5459.00 - 5462.00] P:1797.47 E:0.186365 |  And now only walking towards the near-touch line.
[5462.00 - 5465.00] P:1885.40 E:0.168695 |  Time is running out for England.
[5465.00 - 5467.00] P:1933.07 E:0.189457 |  Two minutes of the night he did go.
[5467.00 - 5470.00] P:1878.46 E:0.171327 |  Then who knows, he might have four minutes about a time.
[5470.00 - 5472.00] P:1818.12 E:0.143002 |  Something like that.
[5472.00 - 5474.00] P:1812.70 E:0.144129 |  I've no idea, but at the moment,
[5474.00 - 5477.00] P:1773.78 E:0.159765 |  England don't even look like creating opportunity,
[5477.00 - 5480.00] P:1789.59 E:0.135421 |  let alone put anyone in the back of the net.
[5480.00 - 5482.00] P:1779.88 E:0.150071 |  Gold kick to Iceland.
[5482.00 - 5485.00] P:1714.23 E:0.180454 |  Holerson, who gave away the penalty for England
[5485.00 - 5487.00] P:1793.83 E:0.158635 |  in the fifth minute of the game.
[5487.00 - 5490.00] P:1858.15 E:0.137261 |  It was a terrible challenge on Sterling.
[5490.00 - 5493.00] P:1796.51 E:0.203741 |  But his team responded and they're responding again.
[5493.00 - 5496.00] P:1720.18 E:0.183690 |  Late in the game, the ball is with Bjarnesson on the far side of the field.
[5496.00 - 5498.00] P:1775.12 E:0.166882 |  That's Elmer Bjarnesson, one of their substitutes.
[5498.00 - 5500.00] P:1677.25 E:0.181762 |  He's tackled by Walker.
[5500.00 - 5502.00] P:1705.03 E:0.138289 |  Ball is still in play.
[5502.00 - 5504.00] P:1829.87 E:0.170898 |  Bjarnesson persistent.
[5504.00 - 5506.00] P:1507.64 E:0.177386 |  He wants a touch off the England defender.
[5506.00 - 5508.00] P:1634.59 E:0.130821 |  He didn't get one and now it's an England throw-in.
[5508.00 - 5513.00] P:1750.50 E:0.167295 |  But it's only a matter of yards from the corner flag of the England half.
[5513.00 - 5515.00] P:1774.55 E:0.196962 |  Throw-in long towards Cahill.
[5515.00 - 5518.00] P:1848.86 E:0.187685 |  Cahill fouled the Icelandic player.
[5518.00 - 5520.00] P:1998.55 E:0.188233 |  We can see it from this distance.
[5520.00 - 5522.00] P:1964.79 E:0.165510 |  Free kick to Iceland.
[5522.00 - 5525.00] P:1881.07 E:0.181826 |  If I was Iceland here, what, 20 yards inside the run-off,
[5525.00 - 5527.00] P:1870.55 E:0.175515 |  I'd go back to the goalkeeper.
[5527.00 - 5530.00] P:1860.18 E:0.197982 |  Kill a few more seconds and launch it back upfield.
[5530.00 - 5536.00] P:1814.89 E:0.165828 |  I mean, you know, Iceland fans are bouncing all over the place.
[5536.00 - 5540.00] P:1682.83 E:0.188859 |  While Greg Dake will be amongst those from the FA watching on
[5540.00 - 5543.00] P:1836.26 E:0.132974 |  in this shocking performance by England.
[5543.00 - 5546.00] P:1772.34 E:0.167058 |  It's not over yet, but there are only seconds to go
[5546.00 - 5549.00] P:1686.81 E:0.170949 |  of the 19 minutes and then we'll have added time.
[5549.00 - 5551.00] P:1775.87 E:0.205216 |  And here's Marcus Rashford, the 18-year-old,
[5551.00 - 5554.00] P:1839.12 E:0.163830 |  sprinting down the left side and he's got past one player.
[5554.00 - 5556.00] P:1639.14 E:0.179459 |  He's now into the penalty area of Rashford.
[5556.00 - 5558.00] P:1722.32 E:0.183899 |  And passing on the player.
[5558.00 - 5560.00] P:1794.36 E:0.174529 |  Can he get the cross and he's won a corner?
[5560.00 - 5562.00] P:1783.90 E:0.196957 |  He tried to get a cross and deflected off of the defender
[5562.00 - 5564.00] P:1860.52 E:0.192924 |  and there is a corner to England.
[5564.00 - 5566.00] P:1815.03 E:0.180097 |  This is why he should have been brought on earlier.
[5566.00 - 5567.00] P:1873.81 E:0.177061 |  He's got confidence.
[5567.00 - 5570.00] P:1835.01 E:0.142449 |  He's got the ability to run up people to dribble.
[5570.00 - 5572.00] P:1741.83 E:0.199291 |  Rashford to take the corner from the left, played in right,
[5572.00 - 5574.00] P:1678.51 E:0.186543 |  put it towards the near post.
[5574.00 - 5576.00] P:1674.25 E:0.183159 |  I think, oh, I thought that came off the defender,
[5576.00 - 5577.00] P:1880.07 E:0.161460 |  but it didn't.
[5577.00 - 5580.00] P:1915.42 E:0.188280 |  It's a gold kick to Iceland and I'm anxiously waiting
[5580.00 - 5583.00] P:1854.18 E:0.173360 |  for the fourth official to tell us how much time
[5583.00 - 5585.00] P:1908.12 E:0.187278 |  will be added on.
[5585.00 - 5587.00] P:1950.79 E:0.175720 |  Just a measly three minutes.
[5587.00 - 5591.00] P:1948.24 E:0.167564 |  Three minutes to save England's participation
[5591.00 - 5593.00] P:1813.50 E:0.172479 |  in the European Championship.
[5593.00 - 5597.00] P:1859.67 E:0.161995 |  I'm not sure anything can save Roy Hodgson's job
[5597.00 - 5599.00] P:1875.14 E:0.128414 |  from this performance.
[5599.00 - 5603.00] P:1873.54 E:0.174685 |  And I know the players, you don't have to take a lot of responsibility,
[5603.00 - 5607.00] P:1757.99 E:0.186370 |  but did England have a clear idea of what to do in the second half?
[5607.00 - 5609.00] P:1773.95 E:0.189511 |  Even if England's gone out, Denneau has to ask him,
[5609.00 - 5611.00] P:1630.82 E:0.165237 |  what was the plan in the second half?
[5611.00 - 5612.00] P:1912.28 E:0.142482 |  Because it's been atrocious.
[5612.00 - 5615.00] P:1905.32 E:0.180451 |  Rashford runs down the left side and he's still running.
[5615.00 - 5617.00] P:1752.98 E:0.177988 |  Rashford, he's tackled and the ball breaks out of play,
[5617.00 - 5618.00] P:1672.85 E:0.219387 |  but it's only a throw in.
[5618.00 - 5620.00] P:1821.88 E:0.173652 |  A yard from the corner flag.
[5620.00 - 5622.00] P:1820.91 E:0.149611 |  We're into added time here in five lines.
[5622.00 - 5627.00] P:1803.14 E:0.191698 |  05-199-6-93, the number to call Chris Waddle and Dan Walker for 6-06.
[5627.00 - 5629.00] P:1822.27 E:0.154555 |  Boy, that would be some listen.
[5629.00 - 5632.00] P:1855.48 E:0.165195 |  Here's the throw by Ali into the penalty area,
[5632.00 - 5634.00] P:1928.05 E:0.212410 |  straight onto an Icelandic boot,
[5634.00 - 5636.00] P:1750.66 E:0.158173 |  and they've got everybody back now.
[5636.00 - 5640.00] P:1914.10 E:0.167924 |  Gunnarsson trying to make sure that not everyone stays back for Iceland.
[5640.00 - 5643.00] P:1764.19 E:0.194472 |  Another cross high into the edge of the Iceland penalty area.
[5643.00 - 5645.00] P:1755.02 E:0.215217 |  Another headed clear by Iceland.
[5645.00 - 5648.00] P:1914.83 E:0.173892 |  Sturridge rushes to the far side, keeps it in play for England.
[5648.00 - 5651.00] P:1869.99 E:0.192517 |  England looked exhausted and without any ideas,
[5651.00 - 5654.00] P:1756.36 E:0.206227 |  not a good ball forward, but Walker did well,
[5654.00 - 5656.00] P:1724.59 E:0.152115 |  winning it back on the far side.
[5656.00 - 5659.00] P:1824.72 E:0.194280 |  Walker crosses right footed, Kane tried to glance ahead of it on,
[5659.00 - 5663.00] P:1784.61 E:0.178878 |  headed away, and now there can be a possible counterattack for Iceland.
[5663.00 - 5665.00] P:1816.54 E:0.172946 |  Was that a foul challenge?
[5665.00 - 5668.00] P:1846.55 E:0.164929 |  Well, it could easily have been a foul challenge on Trosteson,
[5668.00 - 5670.00] P:1791.69 E:0.179632 |  but the referee didn't see it that way.
[5670.00 - 5671.00] P:1997.59 E:0.166452 |  90 seconds to go.
[5671.00 - 5674.00] P:1879.23 E:0.168706 |  It was Rose, Rose tips it forward,
[5674.00 - 5676.00] P:1880.60 E:0.181657 |  headed away by Cyberson,
[5676.00 - 5679.00] P:1676.69 E:0.194866 |  and hit over the halfway line into the England half.
[5679.00 - 5681.00] P:1817.87 E:0.157866 |  Here's Joe Hart.
[5681.00 - 5685.00] P:1868.00 E:0.182771 |  A minute and 20 seconds remain of added time.
[5685.00 - 5688.00] P:1848.24 E:0.189394 |  Hart can come forward to the halfway line.
[5688.00 - 5691.00] P:1932.22 E:0.193702 |  Now he knows he's got to drill it through the middle.
[5691.00 - 5694.00] P:1794.06 E:0.184229 |  Cahill's up from the fence. Cahill jump was beaten in the air,
[5694.00 - 5697.00] P:1804.92 E:0.190744 |  and Iceland can just hold on to it here for a moment.
[5697.00 - 5699.00] P:1673.67 E:0.192298 |  Oh, no, they clear it well,
[5699.00 - 5702.00] P:1840.50 E:0.150792 |  and they've got a chance here, two against two,
[5702.00 - 5704.00] P:1751.91 E:0.170062 |  and that was a foul by Rose.
[5704.00 - 5707.00] P:1682.39 E:0.195267 |  That's got to be a free, oh, no, it's the other way, according to the system.
[5707.00 - 5711.00] P:1659.53 E:0.181487 |  I thought there was a foul on Elmar, to be honest, and listening a free kick.
[5711.00 - 5712.00] P:1756.36 E:0.208870 |  Into the last minute, Alan.
[5712.00 - 5715.00] P:1908.57 E:0.168144 |  Yeah, 50 seconds. Precisely 50 seconds.
[5715.00 - 5718.00] P:1873.39 E:0.167197 |  England trail Iceland 2-1.
[5718.00 - 5720.00] P:1881.28 E:0.129427 |  Rashford wants more.
[5720.00 - 5722.00] P:1762.35 E:0.190991 |  Why wasn't Rashford brought on earlier?
[5722.00 - 5723.00] P:1811.21 E:0.154305 |  Rashford surges forward,
[5723.00 - 5727.00] P:1801.64 E:0.204429 |  edge of the penalty here, and then he trips on the ball, loses possession,
[5727.00 - 5729.00] P:1846.63 E:0.202340 |  and is cleared out of play.
[5729.00 - 5731.00] P:1922.00 E:0.159304 |  Half a minute remaining.
[5731.00 - 5736.00] P:1946.69 E:0.162952 |  Joe Hart rushes to get to the ball, takes the throw in.
[5736.00 - 5740.00] P:1943.45 E:0.169606 |  To Rose. Rose, only one idea in his mind.
[5740.00 - 5742.00] P:1946.10 E:0.165848 |  Slash it forward.
[5742.00 - 5744.00] P:1793.90 E:0.187949 |  Cahill's up there. Cahill didn't win the ball in the air.
[5744.00 - 5746.00] P:1841.77 E:0.131530 |  Ball breaks back.
[5746.00 - 5747.00] P:1893.98 E:0.167541 |  Here's Wiltshire.
[5747.00 - 5749.00] P:1855.75 E:0.166070 |  Wiltshire in to Alley.
[5749.00 - 5752.00] P:1877.50 E:0.177000 |  Alley slides the ball to the far side of the field,
[5752.00 - 5754.00] P:2013.60 E:0.197686 |  and Sturridge crosses in, he can't!
[5754.00 - 5756.00] P:1774.96 E:0.170205 |  Barty heads it wide.
[5756.00 - 5758.00] P:1808.73 E:0.158673 |  It's a corner.
[5758.00 - 5760.00] P:1782.14 E:0.180470 |  There must have been a glance off of the defender.
[5760.00 - 5762.00] P:1747.19 E:0.183869 |  I thought Barty had equalised.
[5762.00 - 5764.00] P:1807.71 E:0.188873 |  Well, that's it. Three minutes of injury time are up.
[5764.00 - 5768.00] P:1806.36 E:0.170592 |  England are now in extra time of injury time.
[5768.00 - 5772.00] P:1795.36 E:0.168513 |  It was a brilliant defensive header by Arneson.
[5772.00 - 5774.00] P:1811.09 E:0.198836 |  We're over the allocated three minutes.
[5774.00 - 5778.00] P:1732.73 E:0.202948 |  Kane's corner played in, and the header down wide of goal.
[5778.00 - 5779.00] P:1832.43 E:0.176771 |  That's it.
[5779.00 - 5781.00] P:1878.49 E:0.205871 |  And that is it!
[5781.00 - 5784.00] P:1892.06 E:0.211614 |  Fantastic win for Iceland.
[5784.00 - 5787.00] P:1816.84 E:0.216694 |  Don't take anything away from Iceland.
[5787.00 - 5789.00] P:1841.16 E:0.213077 |  They were outstanding.
[5789.00 - 5794.00] P:1769.71 E:0.226241 |  Brilliant. They denied England everything, but England were shocking,
[5794.00 - 5798.00] P:1779.28 E:0.216432 |  and this will look down as the worst, amongst the worst result
[5798.00 - 5801.00] P:1763.60 E:0.217914 |  in the history of English international football.
[5801.00 - 5804.00] P:1840.59 E:0.216501 |  No idea. No excuses.
[5804.00 - 5808.00] P:1804.31 E:0.218888 |  England players should be ashamed of themselves.
[5808.00 - 5815.00] P:1866.38 E:0.206986 |  That second half performance was nothing short of atrocious.
[5815.00 - 5818.00] P:1922.86 E:0.206860 |  Hodgson, he's got to go.
[5818.00 - 5820.00] P:1859.20 E:0.219570 |  He has no choice.
[5820.00 - 5822.00] P:1833.07 E:0.202370 |  If he doesn't go, he'd be sacked.
[5822.00 - 5825.00] P:1692.70 E:0.213848 |  There was no plan in the second half, just like Savaki.
